"fact_updated_at","facility_current","facility_next","facility_destination","item_id","tms_cut_off","grid_name","suggested_time","suggested_ldap","item_type","pick_completed","Bag_Source","stag_status","pick_completed_time","Consg","part_of_grid_1"
"2023-11-17T10:34:35.866+05:30","MotherHub_YKB","Motherhub_ULB","ContaiHub_CNT","ECCUCNG-660874872","16:00:00","25","2023-11-17T09:31:30.554+05:30","ca.2784071","BAG",true,"Source","Stagged","2023-11-17T10:34:33.523+05:30","False",true
"2023-11-17T10:34:35.823+05:30","MotherHub_YKB","MotherHub_IDO","SouthtukoganjHub_IDR","EIDRSTK-1686203","05:30:00","14","2023-11-17T10:02:47.731+05:30","ca.2633445","BAG",false,"Source","Stagged","2023-11-17T10:02:45.730+05:30","True",true
"2023-11-17T10:34:30.957+05:30","MotherHub_YKB","MotherHub_IDO","JhalawarHub_JHA","EBHOJHA-1561624","05:30:00","14","2023-11-17T09:41:01.618+05:30","ca.2633445","BAG",false,"Source","Stagged","2023-11-17T09:40:59.617+05:30","True",true
"2023-11-17T10:34:30.908+05:30","MotherHub_YKB","MotherHub_IDO","MandsaurHub_MAN","EIDRMAN-1564795","05:30:00","14","2023-11-17T08:51:51.537+05:30","ca.2624952","BAG",false,"Source","Stagged","2023-11-17T08:51:49.535+05:30","True",true
"2023-11-17T10:34:25.881+05:30","MotherHub_YKB","Motherhub_GUW","BokoHub_BKO","EGAUBKO-1619623","00:00:00","13","2023-11-17T10:32:57.443+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:32:55.441+05:30","True",false
"2023-11-17T10:34:25.779+05:30","MotherHub_YKB","Motherhub_ULB","JhargramHub_JGM","ECCUJGM-660851813","16:00:00","25","2023-11-17T09:35:20.682+05:30","ca.2457276","BAG",true,"Source","Stagged","2023-11-17T10:34:25.442+05:30","False",true
"2023-11-17T10:34:25.760+05:30","MotherHub_YKB","MotherHub_JKD","RamgarhHub_RMT","EIXRRMT-660844849","17:00:00","22","2023-11-17T09:12:10.620+05:30","ca.2784071","BAG",true,"Source","Stagged","2023-11-17T10:34:23.385+05:30","False",true
"2023-11-17T10:34:20.857+05:30","MotherHub_YKB","Motherhub_PAT_BTS","BarauniHub_BJU","EBJUBJU-660866788","20:00:00","19","2023-11-17T10:32:50.687+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:32:48.685+05:30","True",false
"2023-11-17T10:34:16.033+05:30","MotherHub_YKB","Motherhub_ULB","MadpurHub_MDP","EMPUMPU-660841761","16:00:00","25","2023-11-17T10:32:54.206+05:30","ca.2457276","BAG",false,"Source","Not Stagged","2023-11-17T10:32:52.204+05:30","True",false
"2023-11-17T10:34:16.033+05:30","MotherHub_YKB","DewandighiHub_BDM","DewandighiHub_BDM","ECCUDDG-1682106","04:30:00","29","2023-11-17T10:32:52.197+05:30","ca.2475295","BAG",false,"Source","Not Stagged","2023-11-17T10:32:50.195+05:30","True",false
"2023-11-17T10:34:15.946+05:30","MotherHub_YKB","MotherHub_JKD","MotherHub_JKD","EIXRJKD-2661995-1340","17:00:00","22","2023-11-17T09:05:07.515+05:30","ca.2457276","BAG",true,"Source","Stagged","2023-11-17T10:34:13.318+05:30","False",true
"2023-11-17T10:34:05.984+05:30","MotherHub_YKB","AdraSplitHub_ADR","AdraSplitHub_ADR","ERDPANR-800975","03:00:00","28","2023-11-17T10:32:43.895+05:30","ca.2475295","BAG",false,"Source","Not Stagged","2023-11-17T10:32:41.893+05:30","True",false
"2023-11-17T10:34:05.984+05:30","MotherHub_YKB","MotherHub_CHG","WheeleyDurgODH_BIA","ENAGBIA-1395621","20:00:00","18","2023-11-17T10:32:42.816+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:32:40.814+05:30","True",false
"2023-11-17T10:34:01.523+05:30","MotherHub_YKB","MotherHub_JJH","MotherHub_JJH","EGURJJH-2796623-1558","09:00:00","37","2023-11-17T01:34:40.467+05:30","ca.2787351","BAG",true,"Source","Not Stagged","2023-11-17T10:33:59.440+05:30","False",false
"2023-11-17T10:33:56.108+05:30","MotherHub_YKB","MotherHub_JJH","MotherHub_JJH","EGURJJH-2797599-1558","09:00:00","37","2023-11-17T01:34:12.461+05:30","ca.2787351","BAG",true,"Source","Not Stagged","2023-11-17T10:33:51.317+05:30","False",false
"2023-11-17T10:33:55.950+05:30","MotherHub_YKB","MotherHub_SIL","PanjiparaHub_PNJ","EIXBPNG-463514","00:00:00","17","2023-11-17T10:32:38.538+05:30","ca.2624952","BAG",false,"Source","Not Stagged","2023-11-17T10:32:36.537+05:30","True",false
"2023-11-17T10:33:50.845+05:30","MotherHub_YKB","Motherhub_PAT_BTS","KesariyaMDH_KSR","EKSRMIS-442440","20:00:00","19","2023-11-17T10:15:20.990+05:30","ca.2624952","BAG",false,"Source","Stagged","2023-11-17T10:15:18.988+05:30","True",true
"2023-11-17T10:33:50.845+05:30","MotherHub_YKB","MotherHub_JJH","MotherHub_JJH","EGURJJH-2795670-1558","09:00:00","37","2023-11-17T01:49:02.300+05:30","ca.2787351","BAG",true,"Source","Not Stagged","2023-11-17T10:33:48.406+05:30","False",false
"2023-11-17T10:33:45.899+05:30","MotherHub_YKB","Motherhub_PAT_BTS","ArrahSplitHub_ARH","EPATARR-1408477","20:00:00","19","2023-11-17T09:55:34.052+05:30","ca.2633445","BAG",false,"Source","Stagged","2023-11-17T09:55:32.050+05:30","True",true
"2023-11-17T10:33:41.114+05:30","MotherHub_YKB","MotherHub_NAG_BTS","ShegaonHub_SGO","EIXUSGO-1454500","00:00:00","12","2023-11-17T10:32:26.309+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:32:24.307+05:30","True",false
"2023-11-17T10:33:41.114+05:30","MotherHub_YKB","Motherhub_RAC","DehriOnSoneHub_DOS","EBIHDOS-660835751","17:00:00","43","2023-11-17T10:30:44.620+05:30","ca.2457276","BAG",false,"Source","Not Stagged","2023-11-17T10:30:42.619+05:30","True",false
"2023-11-17T10:33:41.114+05:30","MotherHub_YKB","Motherhub_ULB","MarishdaHub_DSI","ECCUDSI-480624","16:00:00","25","2023-11-17T10:30:35.912+05:30","ca.2784071","BAG",false,"Source","Not Stagged","2023-11-17T10:30:33.911+05:30","True",false
"2023-11-17T10:33:41.114+05:30","MotherHub_YKB","Motherhub_ULB","SakherBazarHub_KOL","ECCUSKB-660904952","16:00:00","25","2023-11-17T10:30:17.764+05:30","ca.2784071","BAG",false,"Source","Not Stagged","2023-11-17T10:30:15.762+05:30","True",false
"2023-11-17T10:33:41.114+05:30","MotherHub_YKB","Motherhub_PAT_BTS","LauriyaHub_LRY","EGOPLRY-1363469","20:00:00","19","2023-11-17T09:42:45.705+05:30","ca.2633445","BAG",false,"Source","Stagged","2023-11-17T09:42:43.703+05:30","True",true
"2023-11-17T10:33:41.114+05:30","MotherHub_YKB","MotherHub_JJH","MotherHub_JJH","EGURJJH-2797596-1558","09:00:00","37","2023-11-17T01:34:22.457+05:30","ca.2787351","BAG",true,"Source","Not Stagged","2023-11-17T10:33:40.260+05:30","False",false
"2023-11-17T10:33:36.120+05:30","MotherHub_YKB","MotherHub_IDO","KalaninagarHub_IDR","EDELKNN-660890196","05:30:00","14","2023-11-17T10:32:16.858+05:30","ca.2170654","BAG",false,"Source","Not Stagged","2023-11-17T10:32:14.856+05:30","True",false
"2023-11-17T10:33:36.120+05:30","MotherHub_YKB","Motherhub_GUW","RJSCShillongSplitODH_SHL","ESHLSHO-1513880","00:00:00","13","2023-11-17T10:31:54.514+05:30","ca.2170654","BAG",false,"Source","Not Stagged","2023-11-17T10:31:52.513+05:30","True",false
"2023-11-17T10:33:36.120+05:30","MotherHub_YKB","MotherHub_NAG_BTS","IdentifyplusGondiaODH_GDI","ENAGGDI-1470647","00:00:00","12","2023-11-17T10:31:43.937+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:31:41.935+05:30","True",false
"2023-11-17T10:33:36.082+05:30","MotherHub_YKB","MotherHub_SIL","ForbesganjHub_FBG","EARRARR-660871878","00:00:00","17","2023-11-17T10:32:18.732+05:30","ca.2624952","BAG",false,"Source","Not Stagged","2023-11-17T10:32:16.730+05:30","True",false
"2023-11-17T10:33:36.082+05:30","MotherHub_YKB","Motherhub_PLS","DuliajanHub_DLN","EDLNDLN-660846684","21:00:00","42","2023-11-17T10:32:14.424+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:32:12.423+05:30","True",false
"2023-11-17T10:33:36.082+05:30","MotherHub_YKB","Motherhub_SAI_4","BhandupHub_MUM","EBOMBHD-660893006","21:00:00","15","2023-11-17T10:32:06.891+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:32:04.889+05:30","True",false
"2023-11-17T10:33:36.082+05:30","MotherHub_YKB","MotherHub_SIL","IdentifyplusBhagalpurSplitODH_BGP","ERDPBGP-1532000","00:00:00","17","2023-11-17T10:31:52.875+05:30","ca.2633445","BAG",false,"Source","Not Stagged","2023-11-17T10:31:50.872+05:30","True",false
"2023-11-17T10:33:36.082+05:30","MotherHub_YKB","Motherhub_ULB","BehalaHub_KOL","EKOLBEH-660940028","16:00:00","25","2023-11-17T10:29:35.673+05:30","ca.2784071","BAG",false,"Source","Not Stagged","2023-11-17T10:29:33.671+05:30","True",false
"2023-11-17T10:33:36.081+05:30","MotherHub_YKB","Motherhub_SAI_4","Motherhub_SAI_4","EMUMSAI4-3685437-1375","21:00:00","15","2023-11-17T10:32:24.599+05:30","ca.2170654","BAG",false,"Source","Not Stagged","2023-11-17T10:32:22.597+05:30","True",false
"2023-11-17T10:33:36.081+05:30","MotherHub_YKB","Motherhub_PLS","ETASHDibrugarhODH_DIB","EDIBDBG-1450921","21:00:00","42","2023-11-17T10:31:59.415+05:30","ca.2624952","BAG",false,"Source","Not Stagged","2023-11-17T10:31:57.413+05:30","True",false
"2023-11-17T10:33:36.081+05:30","MotherHub_YKB","Motherhub_RAC","NawadahHub_NWD","ENWDNWD-660869893","17:00:00","43","2023-11-17T10:31:42.666+05:30","ca.2457276","BAG",false,"Source","Not Stagged","2023-11-17T10:31:40.664+05:30","True",false
"2023-11-17T10:33:36.081+05:30","MotherHub_YKB","MotherHub_IDO","IndoreHub_IDR","EDELIDR-660897109","05:30:00","14","2023-11-17T10:31:38.663+05:30","ca.2624952","BAG",false,"Source","Not Stagged","2023-11-17T10:31:36.661+05:30","True",false
"2023-11-17T10:33:36.081+05:30","MotherHub_YKB","MotherHub_SIL","IdentifyplusBhagalpurSplitODH_BGP","ERDPBGP-1527015","00:00:00","17","2023-11-17T10:30:22.525+05:30","ca.2170654","BAG",false,"Source","Not Stagged","2023-11-17T10:30:20.523+05:30","True",false
"2023-11-17T10:33:36.081+05:30","MotherHub_YKB","Motherhub_ULB","UluberiaHub_ULB","EKOLULB-660895878","16:00:00","25","2023-11-17T10:30:10.858+05:30","ca.2784071","BAG",false,"Source","Not Stagged","2023-11-17T10:30:08.856+05:30","True",false
"2023-11-17T10:33:35.901+05:30","MotherHub_YKB","Motherhub_PAT_BTS","ArrahHub_ARH","EBIHARH-660905155","20:00:00","19","2023-11-17T09:42:51.964+05:30","ca.2633445","BAG",false,"Source","Stagged","2023-11-17T09:42:49.962+05:30","True",true
"2023-11-17T10:33:31.216+05:30","MotherHub_YKB","Motherhub_PAT_BTS","AndarHub_SWN","EGAUSWN-1357450","20:00:00","19","2023-11-17T10:12:18.219+05:30","ca.2633445","BAG",false,"Source","Stagged","2023-11-17T10:12:16.217+05:30","True",true
