"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3244351181","PH-ZO-MHYKB-21605999","OPENED","2023-11-22T01:56:18.000+05:30","BAG",false,"2023-11-22T01:56:18.000+05:30"
"PanipatHub_PPT_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3253522872","PH-B5-DELYKB-30603329","OPENED","2023-11-21T18:00:07.000+05:30","BAG",false,"2023-11-21T18:00:07.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256394236","PH-B5-DELYKB-30503191","OPENED","2023-11-22T07:52:56.000+05:30","BAG",false,"2023-11-22T07:52:56.000+05:30"
"ShahdaraHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2019297853","PH-ZO-DELYKB-30604034","OPENED","2023-11-21T09:59:22.000+05:30","BAG",false,"2023-11-21T09:59:22.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3250985903","PH-ZO-DELYKB-29208824","OPENED","2023-11-22T09:09:54.000+05:30","BAG",false,"2023-11-22T09:09:54.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255242386","PH-B5-DELYKB-30641933","OPENED","2023-11-22T11:23:22.000+05:30","BAG",false,"2023-11-22T11:23:22.000+05:30"
"AgraHub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPP2018287692","PH-ZO-DELYKB-30597932","REACHED","2023-11-21T23:38:26.000+05:30","BAG",true,"2023-11-21T23:38:26.000+05:30"
"Pitampurahub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255521341","PH-B5-DELYKB-29931025","OPENED","2023-11-22T08:59:31.000+05:30","BAG",false,"2023-11-22T08:59:31.000+05:30"
"GandhinagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3257010369","PH-B5-DELYKB-30649782","OPENED","2023-11-22T07:49:21.000+05:30","BAG",false,"2023-11-22T07:49:21.000+05:30"
"DasnaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3254838943","PH-ZO-DELYKB-30652705","OPENED","2023-11-22T11:01:33.000+05:30","BAG",false,"2023-11-22T11:01:33.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3253362686","PH-ZO-DELYKB-30605221","OPENED","2023-11-21T15:24:49.000+05:30","BAG",false,"2023-11-21T15:24:49.000+05:30"
"JhajjarHub_JJJ_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3245565482","PH-ZO-DELYKB-30633357","REACHED","2023-11-21T19:18:43.000+05:30","BAG",false,"2023-11-21T19:18:43.000+05:30"
"AmrohaHub_AOA_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2018484342","PH-ZO-DELYKB-30631747","OPENED","2023-11-22T01:09:48.000+05:30","BAG",false,"2023-11-22T01:09:48.000+05:30"
