,bag_facility_source_name,bag_facility_current_name,bag_facility_destination_name,bag_type_ph,tracking_id_ekart,bag_id,bag_status,fact_updated_at,_source,bag_xdock,fact_updated_at_1
1,BudhViharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242812458,PH-ZO-DELYKB-30496171,OPENED,2023-11-17T07:49:59.000+05:30,BAG,False,2023-11-17T07:49:59.000+05:30
2,PaharganjHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243266541,PH-ZO-DELYKB-30499630,OPENED,2023-11-17T16:21:27.000+05:30,BAG,False,2023-11-17T16:21:27.000+05:30
4,NarelaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244093426,PH-ZO-DELYKB-30290610,REACHED,2023-11-16T23:31:27.000+05:30,BAG,False,2023-11-16T23:31:27.000+05:30
5,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012589139,PH-ZO-DELYKB-30493408,OPENED,2023-11-17T13:25:23.000+05:30,BAG,False,2023-11-17T13:25:23.000+05:30
8,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244537084,PH-ZO-DELYKB-30447706,OPENED,2023-11-17T03:55:59.000+05:30,BAG,False,2023-11-17T03:55:59.000+05:30
9,Pitampurahub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243948959,PH-ZO-DELYKB-29753124,OPENED,2023-11-17T10:36:30.000+05:30,BAG,False,2023-11-17T10:36:30.000+05:30
12,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2010371129,PH-ZO-DELYKB-30447805,OPENED,2023-11-17T04:45:07.000+05:30,BAG,False,2023-11-17T04:45:07.000+05:30
16,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2010277320,PH-ZO-DELYKB-30393675,OPENED,2023-11-16T12:13:56.000+05:30,BAG,False,2023-11-16T12:13:56.000+05:30
17,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240199523,PH-ZO-DELYKB-30447053,OPENED,2023-11-16T13:08:24.000+05:30,BAG,False,2023-11-16T13:08:24.000+05:30
20,BurariHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2010329675,PH-ZO-DELYKB-30485760,OPENED,2023-11-17T14:24:46.000+05:30,BAG,False,2023-11-17T14:24:46.000+05:30
24,IPextension_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2006767803,PH-ZO-DELYKB-30266580,OPENED,2023-11-17T08:00:20.000+05:30,BAG,False,2023-11-17T08:00:20.000+05:30
26,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241361231,PH-ZO-DELYKB-30480146,OPENED,2023-11-17T14:51:23.000+05:30,BAG,False,2023-11-17T14:51:23.000+05:30
28,MundkaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011984785,PH-ZO-DELYKB-30477752,OPENED,2023-11-16T23:56:57.000+05:30,BAG,False,2023-11-16T23:56:57.000+05:30
30,ShahdaraHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012919707,PH-ZO-221078-102866,OPENED,2023-11-17T05:16:37.000+05:30,BAG,False,2023-11-17T05:16:37.000+05:30
34,WelcomeHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2009617723,PH-ZO-DELYKB-30453122,OPENED,2023-11-17T12:23:41.000+05:30,BAG,False,2023-11-17T12:23:41.000+05:30
35,WelcomeHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242171105,PH-ZO-DELYKB-30406241,OPENED,2023-11-17T15:30:49.000+05:30,BAG,False,2023-11-17T15:30:49.000+05:30
41,NajafgarhHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243203828,PH-ZO-DELYKB-30498476,OPENED,2023-11-17T09:12:37.000+05:30,BAG,False,2023-11-17T09:12:37.000+05:30
42,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011141504,PH-ZO-DELYKB-30460859,OPENED,2023-11-16T03:36:57.000+05:30,BAG,False,2023-11-16T03:36:57.000+05:30
43,VasundharaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244048134,PH-ZO-DELYKB-30477947,OPENED,2023-11-17T14:16:36.000+05:30,BAG,False,2023-11-17T14:16:36.000+05:30
45,KarolbaghHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012874461,PH-ZO-DELYKB-30446498,OPENED,2023-11-17T13:52:50.000+05:30,BAG,False,2023-11-17T13:52:50.000+05:30
48,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240046910,PH-ZO-DELYKB-29903733,OPENED,2023-11-16T10:13:11.000+05:30,BAG,False,2023-11-16T10:13:11.000+05:30
52,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241119995,PH-ZO-DELYKB-30447727,OPENED,2023-11-16T07:36:02.000+05:30,BAG,False,2023-11-16T07:36:02.000+05:30
54,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243809762,PH-ZO-DELYKB-30464316,OPENED,2023-11-17T14:41:20.000+05:30,BAG,False,2023-11-17T14:41:20.000+05:30
55,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241073860,PH-ZO-DELYKB-30447805,OPENED,2023-11-17T04:45:07.000+05:30,BAG,False,2023-11-17T04:45:07.000+05:30
60,ModelTownHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243665443,PH-ZO-DELYKB-30495092,OPENED,2023-11-17T15:57:29.000+05:30,BAG,False,2023-11-17T15:57:29.000+05:30
61,NajafgarhHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242565097,PH-ZO-DELYKB-30495810,OPENED,2023-11-17T10:02:10.000+05:30,BAG,False,2023-11-17T10:02:10.000+05:30
64,UttamNagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243755785,PH-ZO-DELYKB-30511214,OPENED,2023-11-17T10:28:05.000+05:30,BAG,False,2023-11-17T10:28:05.000+05:30
65,PrahladPur_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244556495,PH-ZO-DELYKB-30464802,OPENED,2023-11-17T10:53:32.000+05:30,BAG,False,2023-11-17T10:53:32.000+05:30
66,IPextension_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243875882,PH-ZO-DELYKB-30502989,OPENED,2023-11-17T08:34:07.000+05:30,BAG,False,2023-11-17T08:34:07.000+05:30
68,SahibabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2013461232,PH-ZO-DELYKB-30474277,OPENED,2023-11-17T12:55:56.000+05:30,BAG,False,2023-11-17T12:55:56.000+05:30
74,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2010277940,PH-ZO-DELYKB-30289667,OPENED,2023-11-16T16:17:44.000+05:30,BAG,False,2023-11-16T16:17:44.000+05:30
77,Peeragarhi_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011748751,PH-ZO-DELYKB-30429335,OPENED,2023-11-17T15:19:04.000+05:30,BAG,False,2023-11-17T15:19:04.000+05:30
82,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242288095,PH-ZO-DELYKB-30494978,OPENED,2023-11-17T15:50:31.000+05:30,BAG,False,2023-11-17T15:50:31.000+05:30
84,BilaspurHub_DRH_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240847600,PH-ZO-DELYKB-30136327,OPENED,2023-11-16T08:05:07.000+05:30,BAG,False,2023-11-16T08:05:07.000+05:30
86,BudhViharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012172567,PH-ZO-DELYKB-30503655,OPENED,2023-11-17T13:25:28.000+05:30,BAG,False,2023-11-17T13:25:28.000+05:30
89,ShahdaraHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241496685,PH-ZO-DELYKB-30449835,REACHED,2023-11-16T04:54:07.000+05:30,BAG,False,2023-11-16T04:54:07.000+05:30
90,BawanaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012569668,PH-ZO-DELYKB-30359734,OPENED,2023-11-17T09:52:59.000+05:30,BAG,False,2023-11-17T09:52:59.000+05:30
91,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2013026465,PH-ZO-DELYKB-30447671,OPENED,2023-11-17T07:34:43.000+05:30,BAG,False,2023-11-17T07:34:43.000+05:30
92,KarolbaghHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3228365773,PH-ZO-DELYKB-30280079,OPENED,2023-11-16T16:43:15.000+05:30,BAG,False,2023-11-16T16:43:15.000+05:30
99,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226002687,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:08:26.000+05:30,SORTATION,False,2023-11-17T11:08:26.000+05:30
100,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244154989,PH-ZO-DELYKB-30484132,OPENED,2023-11-17T15:33:34.000+05:30,BAG,False,2023-11-17T15:33:34.000+05:30
101,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243270440,PH-ZO-DELYKB-30493810,OPENED,2023-11-17T04:59:27.000+05:30,BAG,False,2023-11-17T04:59:27.000+05:30
105,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226029353,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:08:31.000+05:30,SORTATION,False,2023-11-17T11:08:31.000+05:30
107,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240315112,PH-ZO-DELYKB-30480146,OPENED,2023-11-17T14:51:23.000+05:30,BAG,False,2023-11-17T14:51:23.000+05:30
113,YamunaViharHub_DEL_PL,Motherhub_ABD_EXT_VMH,MotherHub_YKB,ZO,FMPC3243629371,PH-ZO-DELYKB-30494878,REACHED,2023-11-17T15:31:10.000+05:30,BAG,True,2023-11-17T15:31:10.000+05:30
116,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3235015736,PH-ZO-DELYKB-28259838,OPENED,2023-11-16T09:33:16.000+05:30,BAG,False,2023-11-16T09:33:16.000+05:30
123,Rohinihub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243614617,PH-ZO-DELYKB-30501531,OPENED,2023-11-17T15:07:20.000+05:30,BAG,False,2023-11-17T15:07:20.000+05:30
127,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012568210,PH-ZO-DELYKB-30493408,OPENED,2023-11-17T13:25:23.000+05:30,BAG,False,2023-11-17T13:25:23.000+05:30
128,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241177509,PH-ZO-DELYKB-30460860,OPENED,2023-11-16T07:59:38.000+05:30,BAG,False,2023-11-16T07:59:38.000+05:30
130,Ramaroadhub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2008843593,PH-ZO-DELYKB-30468237,OPENED,2023-11-16T14:54:05.000+05:30,BAG,False,2023-11-16T14:54:05.000+05:30
131,UttamNagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012992201,PH-ZO-DELYKB-29191115,OPENED,2023-11-17T04:32:33.000+05:30,BAG,False,2023-11-17T04:32:33.000+05:30
132,IPextension_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012004869,PH-ZO-DELYKB-30456361,OPENED,2023-11-17T03:56:26.000+05:30,BAG,False,2023-11-17T03:56:26.000+05:30
134,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241252770,PH-ZO-DELYKB-30414518,OPENED,2023-11-17T16:16:49.000+05:30,BAG,False,2023-11-17T16:16:49.000+05:30
136,RanibaghHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012797156,PH-ZO-DELYKB-30483511,OPENED,2023-11-17T08:37:49.000+05:30,BAG,False,2023-11-17T08:37:49.000+05:30
147,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241221620,PH-ZO-DELYKB-30460860,OPENED,2023-11-16T07:59:38.000+05:30,BAG,False,2023-11-16T07:59:38.000+05:30
152,UttamNagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242500252,PH-ZO-DELYKB-30494105,OPENED,2023-11-17T03:57:15.000+05:30,BAG,False,2023-11-17T03:57:15.000+05:30
157,YamunaViharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242579686,PH-ZO-DELYKB-30504917,OPENED,2023-11-17T15:02:21.000+05:30,BAG,False,2023-11-17T15:02:21.000+05:30
159,GandhinagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241622688,PH-ZO-DELYKB-30460143,OPENED,2023-11-16T14:45:58.000+05:30,BAG,False,2023-11-16T14:45:58.000+05:30
164,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240840877,PH-ZO-DELYKB-30493083,OPENED,2023-11-17T14:59:25.000+05:30,BAG,False,2023-11-17T14:59:25.000+05:30
165,Pitampurahub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3237196815,PH-ZO-DELYKB-30357986,OPENED,2023-11-17T14:24:49.000+05:30,BAG,False,2023-11-17T14:24:49.000+05:30
166,Rohinihub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3225644041,PH-ZO-DELYKB-30294291,OPENED,2023-11-17T11:06:38.000+05:30,SORTATION,False,2023-11-17T11:06:38.000+05:30
169,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240201019,PH-ZO-DELYKB-30447053,OPENED,2023-11-16T13:08:24.000+05:30,BAG,False,2023-11-16T13:08:24.000+05:30
174,ShahdaraHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241545179,PH-ZO-DELYKB-30449835,REACHED,2023-11-16T04:54:07.000+05:30,BAG,False,2023-11-16T04:54:07.000+05:30
186,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242999449,PH-ZO-DELYKB-30478588,OPENED,2023-11-17T16:02:39.000+05:30,BAG,False,2023-11-17T16:02:39.000+05:30
188,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243007962,PH-ZO-DELYKB-29523188,OPENED,2023-11-17T06:11:49.000+05:30,BAG,False,2023-11-17T06:11:49.000+05:30
190,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243238418,PH-ZO-DELYKB-30494978,OPENED,2023-11-17T15:50:31.000+05:30,BAG,False,2023-11-17T15:50:31.000+05:30
192,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239200171,PH-ZO-DELYKB-30427029,OPENED,2023-11-17T07:39:03.000+05:30,BAG,False,2023-11-17T07:39:03.000+05:30
193,NajafgarhHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240408881,PH-ZO-DELYKB-30459521,OPENED,2023-11-16T14:25:26.000+05:30,BAG,False,2023-11-16T14:25:26.000+05:30
194,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226001686,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:08:50.000+05:30,SORTATION,False,2023-11-17T11:08:50.000+05:30
197,WelcomeHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3244137275,PH-ZO-DELYKB-30102412,OPENED,2023-11-17T15:25:51.000+05:30,BAG,False,2023-11-17T15:25:51.000+05:30
199,FaridabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241135941,PH-ZO-DELYKB-30467402,OPENED,2023-11-16T03:38:32.000+05:30,BAG,False,2023-11-16T03:38:32.000+05:30
200,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243737014,PH-ZO-DELYKB-30480286,OPENED,2023-11-17T15:35:24.000+05:30,BAG,False,2023-11-17T15:35:24.000+05:30
206,Rohinihub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241085915,PH-ZO-DELYKB-30458540,OPENED,2023-11-16T10:08:28.000+05:30,BAG,False,2023-11-16T10:08:28.000+05:30
208,NajafgarhHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012358711,PH-ZO-DELYKB-30499720,OPENED,2023-11-17T09:10:59.000+05:30,BAG,False,2023-11-17T09:10:59.000+05:30
211,BudhViharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240030941,PH-ZO-DELYKB-30467270,OPENED,2023-11-16T15:00:35.000+05:30,BAG,False,2023-11-16T15:00:35.000+05:30
218,PaharganjHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2013307833,PH-ZO-DELYKB-30166490,OPENED,2023-11-17T16:08:58.000+05:30,BAG,False,2023-11-17T16:08:58.000+05:30
220,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241184015,PH-ZO-DELYKB-30460860,OPENED,2023-11-16T07:59:38.000+05:30,BAG,False,2023-11-16T07:59:38.000+05:30
222,DasnaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243729347,PH-ZO-DELYKB-30354365,OPENED,2023-11-17T16:08:35.000+05:30,BAG,False,2023-11-17T16:08:35.000+05:30
223,Chhatarpur_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243147856,PH-ZO-DELYKB-30459457,OPENED,2023-11-17T16:10:43.000+05:30,BAG,False,2023-11-17T16:10:43.000+05:30
224,NajafgarhHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242843504,PH-ZO-DELYNB-30496522,OPENED,2023-11-17T14:34:29.000+05:30,BAG,False,2023-11-17T14:34:29.000+05:30
225,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3231690855,PH-ZO-DELYKB-30319003,OPENED,2023-11-17T10:25:31.000+05:30,BAG,False,2023-11-17T10:25:31.000+05:30
227,WelcomeHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241767488,PH-ZO-DELYKB-30397299,OPENED,2023-11-17T13:28:39.000+05:30,BAG,False,2023-11-17T13:28:39.000+05:30
228,Pitampurahub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2009163581,PH-ZO-DELYKB-30482469,OPENED,2023-11-17T16:11:18.000+05:30,BAG,False,2023-11-17T16:11:18.000+05:30
229,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239767396,PH-ZO-DELYKB-30447804,OPENED,2023-11-16T09:42:59.000+05:30,BAG,False,2023-11-16T09:42:59.000+05:30
233,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241117404,PH-ZO-DELYKB-30447053,OPENED,2023-11-16T13:08:24.000+05:30,BAG,False,2023-11-16T13:08:24.000+05:30
237,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3231423728,PH-ZO-DELYKB-30319003,OPENED,2023-11-17T10:25:31.000+05:30,BAG,False,2023-11-17T10:25:31.000+05:30
239,ModelTownHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243620302,PH-ZO-DELYKB-30465831,OPENED,2023-11-17T15:55:11.000+05:30,BAG,False,2023-11-17T15:55:11.000+05:30
241,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226001684,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:07:52.000+05:30,SORTATION,False,2023-11-17T11:07:52.000+05:30
244,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2007482413,PH-ZO-DELYKB-30413417,OPENED,2023-11-16T12:45:10.000+05:30,BAG,False,2023-11-16T12:45:10.000+05:30
245,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3237888967,PH-ZO-DELYKB-30423092,OPENED,2023-11-16T06:12:13.000+05:30,BAG,False,2023-11-16T06:12:13.000+05:30
246,Rohinihub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243956652,PH-ZO-DELYKB-30497233,OPENED,2023-11-17T15:29:53.000+05:30,BAG,False,2023-11-17T15:29:53.000+05:30
248,AshokviharHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239563646,PH-ZO-DELYKB-30464725,OPENED,2023-11-16T15:00:54.000+05:30,BAG,False,2023-11-16T15:00:54.000+05:30
