,hour_diff
7,4
11,25
16,137
20,156
21,21
24,16
30,17
31,6
35,92
39,2
47,187
57,2
63,39
68,2
70,84
71,46
73,120
76,43
88,38
93,4
95,5
103,43
112,5
123,2
135,0
141,0
147,16
152,4
154,90
157,86
162,5
168,5
179,220
188,38
195,85
198,172
206,45
216,1
217,5
231,4
235,20
242,1
250,7
252,4
254,171
255,139
260,122
274,3
275,38
276,1
278,92
281,2
287,235
304,72
310,36
313,14
315,31
321,25
327,1
356,10
365,23
371,3
379,1
407,187
408,68
413,14
421,39
424,0
425,2
428,2
434,161
436,67
440,3
442,3
450,5
457,2
458,4
463,3
469,62
471,14
478,6
484,90
486,2
487,6
500,6
502,38
509,144
516,7
518,4
524,2
525,113
529,5
533,87
543,0
561,4
566,4
571,0
575,114
592,4
593,63
594,64
597,6
625,5
626,0
633,20
634,61
638,44
639,3
646,0
651,138
652,112
669,61
674,5
688,14
692,4
693,5
694,27
697,5
705,3
706,19
707,1
708,131
709,3
712,4
738,12
740,14
754,6
757,72
761,19
762,128
763,157
775,19
778,4
779,118
780,66
786,231
803,3
807,200
811,183
813,43
816,0
818,5
837,1
853,4
857,76
877,1
894,60
896,3
901,184
908,0
910,234
913,20
918,4
922,43
923,39
925,7
940,2
945,1
948,62
950,0
957,48
965,4
968,7
981,3
990,0
997,3
1005,62
1007,0
1023,50
1025,20
1031,5
1034,0
1037,230
1038,0
1045,1
1046,109
1050,5
1054,14
1059,1
1064,65
1071,123
1074,3
1076,212
1078,3
1081,38
1088,120
1093,86
1099,3
1103,26
1109,113
1115,6
1118,113
1129,220
1141,233
1148,66
1151,20
1155,44
1161,3
1163,4
1170,91
1174,0
1191,4
1194,5
1195,5
1196,15
1199,1
1201,3
1207,3
1209,50
1210,54
1213,38
1221,1
1226,210
1232,39
1235,4
1245,1
1248,4
1252,0
1262,87
1265,4
1268,3
1269,38
1272,61
1278,3
1305,0
1306,5
1323,5
1326,3
1335,182
1336,0
1353,220
1357,22
1358,5
1367,86
1380,3
1383,5
1397,1
1407,5
1413,1
1417,3
1418,1
1421,2
1426,187
1427,3
1433,20
1438,0
1441,4
1443,0
1445,20
1447,4
1454,4
1456,4
1460,138
1463,110
1472,0
1473,5
1474,29
1488,3
1489,114
1493,0
1504,19
1508,229
1510,0
1518,53
1528,182
1537,4
1565,113
1590,0
1591,39
1595,3
1598,140
1604,5
1607,114
1610,14
1611,25
1614,25
1621,96
1623,0
1630,60
1635,14
1641,39
1643,231
1646,23
1660,7
1671,60
1677,76
1680,66
1683,5
1692,5
1696,118
1697,7
1698,5
1701,5
1716,4
1718,4
1721,4
1729,1
1741,138
1747,3
1749,39
1751,3
1754,80
1761,16
1768,5
1777,38
1800,79
1808,6
1809,0
1813,0
1816,2
1820,12
1823,6
1829,60
1830,4
1837,126
1838,192
1842,183
1857,210
1861,1
1862,15
1864,15
1872,231
1874,1
1876,10
1880,1
1885,15
1896,12
1901,3
1902,31
1904,1
1909,22
1911,2
1912,84
1913,2
1915,111
1923,184
1924,1
1932,3
1936,116
1944,1
1945,1
1946,1
1952,182
1953,0
1958,48
1966,1
1969,2
1972,0
1979,2
1983,2
1989,1
1994,1
1995,171
2000,4
2004,3
2008,3
2009,2
2022,183
2024,10
2027,3
2028,39
2030,2
2032,1
2035,182
2040,3
2042,1
2048,2
2049,2
2051,1
2052,1
2053,1
2060,19
2073,93
2074,4
2082,3
2084,84
2093,1
2094,0
2101,36
2104,3
2107,109
2110,3
2114,5
2122,3
2127,61
2132,4
2135,2
2138,38
2141,4
2151,212
2160,1
2161,87
2163,87
2165,4
2167,2
2174,4
2190,3
2192,4
2202,4
2212,31
2217,43
2220,63
2223,3
2225,2
2228,4
2229,4
2232,4
2233,2
2236,1
2245,97
2251,1
2258,5
2266,4
2268,1
2273,4
2278,5
2279,4
2549,1
2561,44
2562,0
2563,1
2572,1
2573,0
2574,0
2583,0
2591,5
2595,1
2607,0
2613,1
2622,2
2629,0
2638,0
2641,52
2642,0
2646,0
2652,2
2654,0
2656,0
2659,3
2670,0
2673,0
2680,18
2689,0
2692,1
2693,221
2694,0
2699,5
2703,1
2709,0
2710,1
2714,0
2716,0
2717,0
2722,3
2725,0
2730,0
2731,1
2735,0
2736,3
2746,0
2757,0
2761,1
2764,1
2765,2
2789,1
2794,1
2795,1
2798,1
2802,1
2805,1
2826,3
2832,1
2834,3
2835,76
2839,1
2846,2
2871,220
2892,183
2897,1
2902,2
3102,125
3108,0
3109,1
3140,4
3151,112
3181,1
3210,4
3214,3
3246,1
3273,0
3295,2
3312,87
3331,1
3345,2
3348,1
3365,4
3371,0
3373,48
3378,0
3386,1
3394,0
3403,0
3413,0
3415,3
3435,0
3450,3
3455,85
3456,0
3482,93
3487,0
3501,87
