"id","time1","cv","bag_seal_id","cage_id"
"2","2023-11-20 18:30:36.654967","CV 1","Ejdj","89"
"3","2023-11-20 18:34:23.624643","CV 5","EBOMGHD-660897085","15"
"4","2023-11-20 18:35:03.172586","CV 5","EDELPAT-660968105","19"
"5","2023-11-20 18:36:07.009877","CV 5","EIXBKMG-1591657","17"
"6","2023-11-20 18:37:27.430066","CV 1",,"16"
"7","2023-11-20 18:37:32.149384","CV 5","ECCUULB-5971290-1527","25"
"8","2023-11-20 18:37:52.997323","CV 1","ECCUJGN-660864697","17"
"9","2023-11-20 18:37:54.487382","CV 5","ECCUULB-5970449-1525","25"
"10","2023-11-20 18:38:30.060830","CV 1","EBLPRGH-660888047","18"
"11","2023-11-20 18:38:52.224463","CV 5","EBBIBBW-1430805","23"
"12","2023-11-20 18:39:12.315497","CV 5","EBHUCUT-3595523-1301","23"
"13","2023-11-20 18:39:20.846116","CV 5","EBHUCUT-3592705-1304","23"
"14","2023-11-20 18:39:39.122191","CV 5","EBBISBR-1431751","18"
"15","2023-11-20 18:39:43.232100","CV 5","EBHUCUT-3596527-1302","23"
"16","2023-11-20 18:39:56.074947","CV 5","EBHUCUT-3591392-1303","23"
"17","2023-11-20 18:39:56.756831","CV 1","SLC40462469-23","13"
"18","2023-11-20 18:40:04.191511","CV 5","EBHUCUT-3592404-1532","23"
"19","2023-11-20 18:40:11.670512","CV 5","EJAIBBI-1452928","23"
"20","2023-11-20 18:40:19.794865","CV 1","ENLPNLP-660879974","13"
"21","2023-11-20 18:40:23.499725","CV 5","EBBIKRD-1635958","23"
"22","2023-11-20 18:40:31.843640","CV 5","EBBIBHC-660886938","23"
"23","2023-11-20 18:40:41.199746","CV 5","EBHUCUT-3597521-1304","23"
"25","2023-11-20 18:40:52.139176","CV 5","EBHUCUT-3592398-1304","23"
"26","2023-11-20 18:41:07.100549","CV 5","ECCUBRP-660916920","24"
"27","2023-11-20 18:41:11.859644","CV 5","EBAGSIL-2542111-1443","17"
"29","2023-11-20 18:41:27.496681","CV 1","ENAGJRP-1554102","12"
"30","2023-11-20 18:41:33.129952","CV 5","EKOLKYI-660905082","24"
"31","2023-11-20 18:41:37.420166","CV 5","SLC40462104-23","14"
"32","2023-11-20 18:41:48.976471","CV 5","EBIHKIR-660878939","17"
"33","2023-11-20 18:42:08.997080","CV 5","EPATBTS-4841764-1363","19"
"34","2023-11-20 18:42:17.845315","CV 5","ERXLRXL-660721835","19"
"36","2023-11-20 18:42:33.664421","CV 5","EBDQAWH-660904072","21"
"37","2023-11-20 18:42:38.378678","CV 1","EBIHHJP-660890056","19"
"38","2023-11-20 18:42:38.751187","CV 5","EDIBDBG-1452981","42"
"39","2023-11-20 18:42:46.166483","CV 5","EAMDGSR-1562980","21"
"40","2023-11-20 18:42:50.187499","CV 1","EGAUBGG-660875979","17"
"41","2023-11-20 18:42:53.029877","CV 5","ETEZTPU-1433850","42"
"42","2023-11-20 18:42:53.753039","CV 5","EDELIXW-660891027","22"
"43","2023-11-20 18:43:03.020143","CV 5","EGAUPLS-1312404-1367","42"
"44","2023-11-20 18:43:04.657112","CV 5","ENWDNWD-660872947","43"
"45","2023-11-20 18:43:05.955404","CV 1","EAJLLGL-1549654","13"
"46","2023-11-20 18:43:15.876270","CV 5","ENZRNZR-660841786","42"
"47","2023-11-20 18:43:16.866075","CV 5","EAMDBVG-660881026","21"
"48","2023-11-20 18:43:33.835386","CV 5","EPATDBN-1494774","46"
"49","2023-11-20 18:43:35.251749","CV 5","EJLRJBL-660900224","12"
"50","2023-11-20 18:43:42.955283","CV 5","EKOLULB-660887917","25"
"51","2023-11-20 18:43:53.647112","CV 5","ECCUBRT-660882800","24"
"52","2023-11-20 18:44:07.880040","CV 5","ECCUSIU-1700064","25"
"53","2023-11-20 18:44:15.650165","CV 1","EGAUBLT-1435683","13"
"54","2023-11-20 18:44:19.726697","CV 5","EAMDRNP-660894951","21"
"55","2023-11-20 18:44:33.773826","CV 5","ECCURRK-660925078","43"
"56","2023-11-20 18:44:40.425469","CV 1","EGAUGUW-3386167-1314","13"
"57","2023-11-20 18:44:42.834500","CV 5","EDAIDJL-660855790","17"
"58","2023-11-20 18:44:57.722149","CV 1","EDMUKHM-1501753","13"
"59","2023-11-20 18:45:02.208542","CV 5","ENILNIL-660842826","45"
"60","2023-11-20 18:45:12.699770","CV 5","ERACRAC-260047-1687","43"
"61","2023-11-20 18:45:15.310455","CV 1","EGAURNG-1370509","13"
"63","2023-11-20 18:45:24.960336","CV 5","ECCUULB-5968423-1527","25"
"64","2023-11-20 18:45:36.048751","CV 5","ECCUULB-5970451-1527","25"
"65","2023-11-20 18:45:38.792978","CV 1","EGAUGUW-3386985-1317","13"
"66","2023-11-20 18:45:46.892267","CV 5","EVRVVRV-660834764","26"
"67","2023-11-20 18:45:49.113309","CV 1","ESHLSNG-1624959","13"
"68","2023-11-20 18:45:57.007895","CV 5","EGAUGLP-660852855","13"
"69","2023-11-20 18:45:59.131546","CV 5","EDELJKS-664986169-552","34"
"70","2023-11-20 18:46:04.373334","CV 1","EMGIMGI-660836852","13"
"71","2023-11-20 18:46:06.605473","CV 5","EBHUCUT-3594595-1302","23"
"72","2023-11-20 18:46:06.779258","CV 5","EAJLLGL-1547655","13"
"73","2023-11-20 18:46:20.518832","CV 5","ECHHCHH-660863953","12"
"74","2023-11-20 18:46:21.595700","CV 5","EAHDABD-2636088-1276","21"
"75","2023-11-20 18:46:25.536141","CV 1","SLC41268710-23","13"
"76","2023-11-20 18:46:28.593610","CV 5","ESHLSLG-1434740","13"
"77","2023-11-20 18:46:39.402303","CV 5","EBHUCUT-3595524-1304","23"
"78","2023-11-20 18:46:39.497077","CV 5","EGAUDNI-660730690","13"
"79","2023-11-20 18:46:52.348451","CV 5","ENRANRA-660846835","28"
"80","2023-11-20 18:46:52.912957","CV 5","EINDIDO-2001232-1333","14"
"81","2023-11-20 18:46:59.697439","CV 5","EAHDABD-2635200-1279","21"
"82","2023-11-20 18:47:08.454084","CV 5","ECCUSDP-660909008","25"
"83","2023-11-20 18:47:08.621506","CV 5","EINDIDO-2003054-1334","14"
"84","2023-11-20 18:47:16.550343","CV 5","EBOMCHB-660899021","15"
"85","2023-11-20 18:47:17.638196","CV 5","EBBICDS-1749245","23"
"86","2023-11-20 18:47:27.520700","CV 5","EMUMSAI4-3700516-1375","15"
"87","2023-11-20 18:47:33.929367","CV 5","EBIHSMP-660910063","27"
"88","2023-11-20 18:47:36.433744","CV 5","EBOMBHD-660896077","15"
"89","2023-11-20 18:47:46.772455","CV 5","ERDPCTO-1734069","29"
"90","2023-11-20 18:47:48.507115","CV 5","EBOMMIR-660896138","15"
"92","2023-11-20 18:47:58.004707","CV 5","ECCUBDM-660899965","29"
"93","2023-11-20 18:48:05.109230","CV 5","EBOMBKC-660799761","15"
"94","2023-11-20 18:48:26.664053","CV 5","EBGHBGH-660839742","46"
"95","2023-11-20 18:48:36.338929","CV 1","EBIHKIR-660880989","17"
"96","2023-11-20 18:48:40.686105","CV 5","EMUMSAI4-3701360-983","15"
"97","2023-11-20 18:48:40.946164","CV 5","EKOPKOP-660811668","25"
"98","2023-11-20 18:48:49.706987","CV 5","EAMDBPG-660910080","21"
"99","2023-11-20 18:48:51.804848","CV 5","ERAICHG-2445911-1533","18"
"100","2023-11-20 18:48:57.564735","CV 5","ECCUULB-5966625-1525","25"
"103","2023-11-20 18:49:18.520393","CV 5","EGAMGAM-660847815","17"
"104","2023-11-20 18:49:22.430926","CV 5","EPATBTS-4837358-1363","19"
"107","2023-11-20 18:49:38.691573","CV 5","ECCUBHP-660878890","24"
"108","2023-11-20 18:49:38.738599","CV 1","ETSKTSK-660850761","42"
"109","2023-11-20 18:49:46.425510","CV 5","EAHDABD-2641802-1278","21"
"110","2023-11-20 18:49:46.909513","CV 5","EBIHBGP-660940122","17"
"111","2023-11-20 18:49:48.011603","CV 1","EPNQNGR-660897980","16"
"113","2023-11-20 18:50:04.609211","CV 5","EPATHJR-752630-1319","27"
"115","2023-11-20 18:50:17.818851","CV 5","EKOLHRN-2718677-1530","24"
"116","2023-11-20 18:50:21.273036","CV 1","EDELKRD-660902109","16"
"117","2023-11-20 18:50:28.486267","CV 5","EMGAMGA-660832767","45"
"118","2023-11-20 18:50:30.335116","CV 5","ERAICHG-2451670-1289","18"
"119","2023-11-20 18:50:32.167680","CV 1","ENAGAMI-660879941","12"
"120","2023-11-20 18:50:39.720375","CV 5","EKOLHRN-2713547-1528","24"
"121","2023-11-20 18:50:40.056322","CV 1","EGAUBPT-1464672","13"
"123","2023-11-20 18:50:46.929083","CV 5","EAMDCGR-660887010","21"
"124","2023-11-20 18:50:55.063462","CV 5","EIXWATP-660876235","22"
"125","2023-11-20 18:51:09.159768","CV 5","ECCUSYN-1699184","24"
