"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2018564281","PH-ZO-DELYKB-30755474","OPENED","2023-11-28T03:37:39.000+05:30","BAG",false,"2023-11-28T03:37:39.000+05:30"
"Rohinihub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3269976191","PH-B5-DELYKB-30687825","OPENED","2023-11-28T12:37:41.000+05:30","BAG",false,"2023-11-28T12:37:41.000+05:30"
"Ramaroadhub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270315451","PH-B5-DELYKB-30819617","OPENED","2023-11-28T06:07:43.000+05:30","BAG",false,"2023-11-28T06:07:43.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2027494965","PH-ZO-DELYKB-30735192","OPENED","2023-11-27T10:43:27.000+05:30","BAG",false,"2023-11-27T10:43:27.000+05:30"
"BilaspurHub_DRH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269003503","PH-ZO-DELYKB-30681930","OPENED","2023-11-28T07:49:49.000+05:30","NBU",false,"2023-11-28T07:49:49.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3267696040","PH-ZO-DELYKB-30772028","OPENED","2023-11-28T07:58:12.000+05:30","BAG",false,"2023-11-28T07:58:12.000+05:30"
"AshokviharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268771267","PH-B5-DELYKB-30815975","OPENED","2023-11-28T11:59:39.000+05:30","NBU",false,"2023-11-28T11:59:39.000+05:30"
"FaridabadHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2027400940","PH-B5-DELYKB-30794518","OPENED","2023-11-27T03:24:00.000+05:30","BAG",false,"2023-11-27T03:24:00.000+05:30"
"BilaspurHub_DRH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2028246473","PH-ZO-DELYKB-30681930","OPENED","2023-11-28T07:49:49.000+05:30","NBU",false,"2023-11-28T07:49:49.000+05:30"
"BijwasanHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270292685","PH-B5-DELYKB-30632993","OPENED","2023-11-27T22:42:58.000+05:30","BAG",false,"2023-11-27T22:42:58.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268967489","PH-B5-DELYKB-30823531","OPENED","2023-11-28T06:04:02.000+05:30","NBU",false,"2023-11-28T06:04:02.000+05:30"
"RanibaghHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268155488","PH-B5-DELYKB-30791080","OPENED","2023-11-27T03:55:36.000+05:30","BAG",false,"2023-11-27T03:55:36.000+05:30"
"DasnaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3267920047","PH-ZO-DELYKB-30520902","OPENED","2023-11-28T07:48:43.000+05:30","BAG",false,"2023-11-28T07:48:43.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3264931253","PH-ZO-DELYKB-30629001","OPENED","2023-11-27T12:29:13.000+05:30","BAG",false,"2023-11-27T12:29:13.000+05:30"
"IPextension_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269890746","PH-ZO-DELYKB-30821222","REACHED","2023-11-28T02:15:12.000+05:30","BAG",false,"2023-11-28T02:15:12.000+05:30"
"Rohinihub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269505277","PH-ZO-DELYKB-30656159","OPENED","2023-11-28T02:00:09.000+05:30","BAG",false,"2023-11-28T02:00:09.000+05:30"
"Ramaroadhub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2028129870","PH-ZO-DELYKB-30671702","OPENED","2023-11-28T12:47:18.000+05:30","NBU",false,"2023-11-28T12:47:18.000+05:30"
"JasolaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268925893","PH-B5-DELYKB-30817178","OPENED","2023-11-28T11:28:54.000+05:30","BAG",false,"2023-11-28T11:28:54.000+05:30"
"YamunaNagarHub_YNR_PL","MotherHub_YKB","MotherHub_YKB","B5","SHEC0000439171","PH-B5-DELYKB-30779637","OPENED","2023-11-27T00:15:00.000+05:30","BAG",false,"2023-11-27T00:15:00.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268099693","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"MangolpuriHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268042641","PH-B5-DELYKB-30688661","OPENED","2023-11-27T01:28:05.000+05:30","BAG",false,"2023-11-27T01:28:05.000+05:30"
"RanibaghHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268605529","PH-B5-DELYKB-30668450","OPENED","2023-11-27T08:21:10.000+05:30","BAG",false,"2023-11-27T08:21:10.000+05:30"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268504519","PH-B5-DELYKB-30806008","OPENED","2023-11-28T10:41:43.000+05:30","BAG",false,"2023-11-28T10:41:43.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3266760451","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268091311","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2028139066","PH-B5-DELYKB-30810823","OPENED","2023-11-28T11:47:28.000+05:30","BAG",false,"2023-11-28T11:47:28.000+05:30"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3266937624","PH-B5-DELYKB-30790362","OPENED","2023-11-27T09:33:13.000+05:30","BAG",false,"2023-11-27T09:33:13.000+05:30"
"HapurHub_HPU_PL","MotherHub_YKB","MotherHub_YKB","ZO","PTMP0000831308","PH-ZO-DELYKB-30772588","OPENED","2023-11-26T16:36:31.000+05:30","BAG",false,"2023-11-26T16:36:31.000+05:30"
"BilaspurHub_DRH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3270663729","PH-ZO-DELYKB-30681930","OPENED","2023-11-28T07:49:49.000+05:30","NBU",false,"2023-11-28T07:49:49.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2019189388","PH-ZO-DELYKB-30755474","OPENED","2023-11-28T03:37:39.000+05:30","BAG",false,"2023-11-28T03:37:39.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268889599","PH-ZO-DELYKB-30819010","OPENED","2023-11-28T07:48:42.000+05:30","NBU",false,"2023-11-28T07:48:42.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268093694","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268115310","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270417193","PH-B5-DELYKB-30821860","OPENED","2023-11-28T08:15:30.000+05:30","BAG",false,"2023-11-28T08:15:30.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3266753383","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268165169","PH-ZO-DELYKB-30514403","OPENED","2023-11-27T04:29:12.000+05:30","BAG",false,"2023-11-27T04:29:12.000+05:30"
"Peeragarhi_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268205633","PH-ZO-DELYKB-30788569","OPENED","2023-11-27T02:02:00.000+05:30","BAG",false,"2023-11-27T02:02:00.000+05:30"
"RohtakHub_ROH_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2025927048","PH-B5-DELYKB-30590147","OPENED","2023-11-27T19:17:35.000+05:30","BAG",false,"2023-11-27T19:17:35.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270179919","PH-B5-DELYKB-30549395","OPENED","2023-11-28T09:25:20.000+05:30","BAG",false,"2023-11-28T09:25:20.000+05:30"
"IPextension_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269882236","PH-ZO-DELYKB-30821222","REACHED","2023-11-28T02:15:12.000+05:30","BAG",false,"2023-11-28T02:15:12.000+05:30"
"Peeragarhi_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268940400","PH-B5-DELYKB-30675973","OPENED","2023-11-27T23:09:25.000+05:30","BAG",false,"2023-11-27T23:09:25.000+05:30"
"DasnaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270062989","PH-B5-DELYKB-30732169","OPENED","2023-11-28T04:34:46.000+05:30","BAG",false,"2023-11-28T04:34:46.000+05:30"
"ShahdaraHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3271170933","PH-ZO-DELYKB-29488229","OPENED","2023-11-28T07:48:08.000+05:30","NBU",false,"2023-11-28T07:48:08.000+05:30"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2026993283","PH-ZO-DELYKB-30478101","OPENED","2023-11-27T07:42:53.000+05:30","BAG",false,"2023-11-27T07:42:53.000+05:30"
"BurariHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3270503536","PH-ZO-DELYKB-29002979","OPENED","2023-11-28T08:45:41.000+05:30","BAG",false,"2023-11-28T08:45:41.000+05:30"
"AshokviharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270519764","PH-B5-DELYKB-30826157","OPENED","2023-11-28T12:17:15.000+05:30","BAG",false,"2023-11-28T12:17:15.000+05:30"
"Alipur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3269318330","PH-B5-DELYKB-30757536","OPENED","2023-11-28T08:02:08.000+05:30","BAG",false,"2023-11-28T08:02:08.000+05:30"
"Pitampurahub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3267936691","PH-ZO-DELYKB-30077587","OPENED","2023-11-27T08:04:42.000+05:30","BAG",false,"2023-11-27T08:04:42.000+05:30"
"BijwasanHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3266614101","PH-ZO-DELYKB-30818902","OPENED","2023-11-28T07:50:11.000+05:30","NBU",false,"2023-11-28T07:50:11.000+05:30"
"GandhinagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3270923900","PH-ZO-DELYKB-30790746","OPENED","2023-11-28T12:34:10.000+05:30","BAG",false,"2023-11-28T12:34:10.000+05:30"
"PrahladPur_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268722422","PH-B5-DELYKB-30158525","OPENED","2023-11-28T10:16:38.000+05:30","BAG",false,"2023-11-28T10:16:38.000+05:30"
"SangamviharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3267254788","PH-B5-DELYKB-30782623","OPENED","2023-11-27T03:17:21.000+05:30","BAG",false,"2023-11-27T03:17:21.000+05:30"
"BilaspurHub_DRH_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2028461367","PH-ZO-DELYKB-30803887","OPENED","2023-11-28T00:39:20.000+05:30","BAG",false,"2023-11-28T00:39:20.000+05:30"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2026765302","PH-ZO-DELYKB-30478101","OPENED","2023-11-27T07:42:53.000+05:30","BAG",false,"2023-11-27T07:42:53.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268773877","PH-ZO-DELYKB-30822351","OPENED","2023-11-28T00:13:06.000+05:30","BAG",false,"2023-11-28T00:13:06.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3265696513","PH-B5-DELYKB-30160696","REACHED","2023-11-27T08:36:02.000+05:30","BAG",false,"2023-11-27T08:36:02.000+05:30"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270556328","PH-B5-DELYKB-30815654","OPENED","2023-11-28T11:50:34.000+05:30","BAG",false,"2023-11-28T11:50:34.000+05:30"
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2026391545","PH-ZO-DELYKB-30409174","OPENED","2023-11-27T15:21:58.000+05:30","BAG",false,"2023-11-27T15:21:58.000+05:30"
"BilaspurHub_DRH_PL","MotherHub_YKB","MotherHub_YKB","B5","MYEC1004383268","PH-B5-DELYKB-30655909","OPENED","2023-11-28T06:02:59.000+05:30","NBU",false,"2023-11-28T06:02:59.000+05:30"
"Ramaroadhub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2029445205","PH-ZO-DELYKB-30493484","OPENED","2023-11-28T02:09:49.000+05:30","BAG",false,"2023-11-28T02:09:49.000+05:30"
"NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2029119066","PH-B5-DELYKB-30787692","OPENED","2023-11-28T09:50:10.000+05:30","BAG",false,"2023-11-28T09:50:10.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2027091969","PH-ZO-DELYKB-30803634","OPENED","2023-11-28T12:44:03.000+05:30","BAG",false,"2023-11-28T12:44:03.000+05:30"
"DehradunHub_DED_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2027475698","PH-B5-DELYKB-30797134","OPENED","2023-11-28T00:04:23.000+05:30","BAG",false,"2023-11-28T00:04:23.000+05:30"
"Ramaroadhub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2029451702","PH-ZO-DELYKB-30671702","OPENED","2023-11-28T12:47:18.000+05:30","NBU",false,"2023-11-28T12:47:18.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268108810","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"Motibaghhub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3267514490","PH-B5-DELYKB-30404658","OPENED","2023-11-27T02:03:57.000+05:30","BAG",false,"2023-11-27T02:03:57.000+05:30"
"PaharganjHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2029683120","PH-ZO-DELYKB-30736518","OPENED","2023-11-28T09:01:12.000+05:30","BAG",false,"2023-11-28T09:01:12.000+05:30"
"UttamNagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268922095","PH-ZO-DELYKB-30813854","OPENED","2023-11-28T08:37:42.000+05:30","BAG",false,"2023-11-28T08:37:42.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3269761198","PH-B5-DELYKB-30823531","OPENED","2023-11-28T06:04:02.000+05:30","NBU",false,"2023-11-28T06:04:02.000+05:30"
"Rohinihub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268386127","PH-B5-DELYKB-30715075","OPENED","2023-11-28T08:41:04.000+05:30","BAG",false,"2023-11-28T08:41:04.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3265706532","PH-B5-DELYKB-30160696","REACHED","2023-11-27T08:36:02.000+05:30","BAG",false,"2023-11-27T08:36:02.000+05:30"
"MathuraHub_MTH_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3265931666","PH-B5-DELYKB-30777356","OPENED","2023-11-27T17:23:53.000+05:30","BAG",false,"2023-11-27T17:23:53.000+05:30"
"BallabhgarhHub_Del_PL","MotherHub_YKB","MotherHub_YKB","ZO","MYEC1004328533","PH-ZO-DELYKB-30717913","OPENED","2023-11-26T08:39:38.000+05:30","BAG",false,"2023-11-26T08:39:38.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3265701536","PH-B5-DELYKB-30160696","REACHED","2023-11-27T08:36:02.000+05:30","BAG",false,"2023-11-27T08:36:02.000+05:30"
"GwaliorHub_GWL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3267664144","PH-ZO-DELYKB-30777933","OPENED","2023-11-27T17:57:37.000+05:30","BAG",false,"2023-11-27T17:57:37.000+05:30"
"PaharganjHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2028411352","PH-B5-DELYKB-30559715","OPENED","2023-11-28T05:57:27.000+05:30","BAG",false,"2023-11-28T05:57:27.000+05:30"
"PaharganjHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3270610543","PH-B5-DELYKB-30559715","OPENED","2023-11-28T05:57:27.000+05:30","NBU",false,"2023-11-28T05:57:27.000+05:30"
"NajafgarhHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2029063248","PH-B5-DELYKB-30819748","OPENED","2023-11-28T07:47:23.000+05:30","NBU",false,"2023-11-28T07:47:23.000+05:30"
"Rohinihub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268055998","PH-B5-DELYKB-30788150","OPENED","2023-11-27T09:02:52.000+05:30","BAG",false,"2023-11-27T09:02:52.000+05:30"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268077304","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"ELASTICRUNHANSIODH_HNS_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3265887688","PH-ZO-DELYKB-30779085","REACHED","2023-11-27T07:40:07.000+05:30","BAG",true,"2023-11-27T07:40:07.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3267086784","PH-ZO-DELYKB-30794384","OPENED","2023-11-27T08:52:19.000+05:30","BAG",false,"2023-11-27T08:52:19.000+05:30"
"Britania_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269068418","PH-ZO-DELYKB-30799627","OPENED","2023-11-28T10:09:03.000+05:30","BAG",false,"2023-11-28T10:09:03.000+05:30"
"Peeragarhi_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269321261","PH-ZO-DELYKB-30810745","OPENED","2023-11-28T09:19:24.000+05:30","BAG",false,"2023-11-28T09:19:24.000+05:30"
