"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant"
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00",512
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00",857
"MotherHub_YKB","MotherHub_DEL","ECONOMY","03:30:00",43
"MotherHub_YKB","RunnisaidpurHub_SMI","ECONOMY","19:00:00",4
"MotherHub_YKB","Motherhub_RAC","ECONOMY","17:00:00",341
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00",568
"MotherHub_YKB","MotherHub_CHG","ECONOMY","20:00:00",256
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00",158
"MotherHub_YKB","Motherhub_GUW","ECONOMY","00:00:00",175
"MotherHub_YKB","MotherHub_PUNE","ECONOMY","22:00:00",207
"MotherHub_YKB","LoadshareLalbaghODH_MBB","ECONOMY","05:00:00",17
"MotherHub_YKB","Motherhub_SAI_4","ECONOMY","21:00:00",299
"MotherHub_YKB","VxpressAsansolSplitODH_ASN","ECONOMY","03:00:00",13
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00",212
"MotherHub_YKB","Motherhub_CUT","ECONOMY","16:00:00",566
"MotherHub_YKB","VxpressKuiaODH_DBD","ECONOMY","03:00:00",9
"MotherHub_YKB","JagtaiHub_NIL","ECONOMY","05:00:00",11
"MotherHub_YKB","VxpressGovindpurODH_DBD","ECONOMY","03:00:00",18
"MotherHub_YKB","MinapurHub_MZF","ECONOMY","19:00:00",3
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00",179
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00",498
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00",92
"MotherHub_YKB","JamtaraHub_JMT","ECONOMY","03:00:00",22
"MotherHub_YKB","RaiganjHub_RGJ","ECONOMY","06:00:00",20
"MotherHub_YKB","IdentifyPlusAmreliODH_AMR","ECONOMY","16:00:00",4
"MotherHub_YKB","VxpressSindriODH_SIN","ECONOMY","03:00:00",16
"MotherHub_YKB","ChakIslampurHub_MBB","ECONOMY","05:00:00",14
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00",85
"MotherHub_YKB","BudbudHub_BDM","ECONOMY","04:30:00",16
"MotherHub_YKB","DumkaHub_DMK","ECONOMY","03:00:00",22
"MotherHub_YKB","RathbariHub_LDA","ECONOMY","06:00:00",18
"MotherHub_YKB","KaliyaganjODH_KLJ","ECONOMY","06:00:00",6
"MotherHub_YKB","LoadshareCitiCenterODH_DGP","ECONOMY","03:00:00",26
"MotherHub_YKB","Motherhub_HRN","ECONOMY","02:00:00",217
"MotherHub_YKB","CABTMurshidabadODH_MBB","ECONOMY","05:00:00",20
"MotherHub_YKB","RajkotHub_RAJ","ECONOMY","16:00:00",10
"MotherHub_YKB","BurdwanHub_BDM","ECONOMY","04:30:00",22
"MotherHub_YKB","AndalHub_DGP","ECONOMY","03:00:00",17
"MotherHub_YKB","SitamarhiHub_SMI","ECONOMY","19:00:00",13
"MotherHub_YKB","MotherHub_SIL","ECONOMY","00:00:00",106
"MotherHub_YKB","DewandighiHub_BDM","ECONOMY","04:30:00",36
"MotherHub_YKB","BENIPURSplitHUB_BPA","ECONOMY","20:00:00",6
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00",37
"MotherHub_YKB","LalgolaHub_LGL","ECONOMY","05:00:00",21
"MotherHub_YKB","VxpressBurnpurODH_ASN","ECONOMY","03:00:00",16
"MotherHub_YKB","BeldangaHub_BEB","ECONOMY","05:00:00",13
"MotherHub_YKB","KhoyrasoleHub_BMG","ECONOMY","04:30:00",18
"MotherHub_YKB","MotherHub_PUNE","REGULAR","22:00:00",1
"MotherHub_YKB","SaharsaHub_SHC","ECONOMY","20:00:00",6
"MotherHub_YKB","VeravalHub_VRV","ECONOMY","16:00:00",10
"MotherHub_YKB","EnglishBazarHub_LDA","ECONOMY","06:00:00",10
"MotherHub_YKB","DurgapurHub_DGP","ECONOMY","03:00:00",28
"MotherHub_YKB","ChanchalHub_CHC","ECONOMY","06:00:00",18
"MotherHub_YKB","MorgramHub_MGA","ECONOMY","05:00:00",12
"MotherHub_YKB","CABTMithanpuraSplitODH_MZF","ECONOMY","19:00:00",5
"MotherHub_YKB","BarjoraHub_DGP","ECONOMY","03:00:00",11
"MotherHub_YKB","CABTMuzaffarpurSplitODH_MZF","ECONOMY","19:00:00",2
"MotherHub_YKB","BenipurHub_BPA","ECONOMY","20:00:00",7
"MotherHub_YKB","ManikchakHub_LDA","ECONOMY","06:00:00",12
"MotherHub_YKB","Rupnarayanpurhub_ASN","ECONOMY","03:00:00",11
"MotherHub_YKB","NirsaHub_NRA","ECONOMY","03:00:00",13
"MotherHub_YKB","KandiHub_KND","ECONOMY","05:00:00",13
"MotherHub_YKB","SindrisplitODH_DBD","ECONOMY","03:00:00",22
"MotherHub_YKB","SupaulHub_SOU","ECONOMY","20:00:00",9
"MotherHub_YKB","MotherHub_IDO","REGULAR","05:30:00",14
"MotherHub_YKB","JainagarHub_MDH","ECONOMY","20:00:00",2
"MotherHub_YKB","FarrakaHub_NFK","ECONOMY","06:00:00",17
"MotherHub_YKB","DependoKaliachakODH_KTJ","ECONOMY","06:00:00",5
"MotherHub_YKB","DwarkaGujaratHub_DWK","ECONOMY","16:00:00",1
"MotherHub_YKB","CABTNarayanpurODH_LDA","ECONOMY","06:00:00",11
"MotherHub_YKB","IdentifyplusDarbhangaSplitODH_DBG","ECONOMY","20:00:00",12
"MotherHub_YKB","Motherhub_SAI_4","REGULAR","21:00:00",1
"MotherHub_YKB","JhantipahariHub_JHI","ECONOMY","04:30:00",6
"MotherHub_YKB","ElasticRunGuskaraODH_GKH","ECONOMY","04:30:00",9
"MotherHub_YKB","BankuraHub_BKR","ECONOMY","04:30:00",15
"MotherHub_YKB","GazoleHub_GZO","ECONOMY","06:00:00",11
"MotherHub_YKB","MotherHub_STV","ECONOMY","21:00:00",45
"MotherHub_YKB","PuruliaHub_PRR","ECONOMY","03:00:00",14
"MotherHub_YKB","DebagramHub_DEB","ECONOMY","05:00:00",7
"MotherHub_YKB","JhanjharpurHub_JJP","ECONOMY","20:00:00",11
"MotherHub_YKB","KumarganjHub_KGJ","ECONOMY","06:00:00",8
"MotherHub_YKB","NazirpurHub_NZP","ECONOMY","05:00:00",10
"MotherHub_YKB","JhaldaHub_JAA","ECONOMY","03:00:00",6
"MotherHub_YKB","JasdanHub_JSN","ECONOMY","16:00:00",2
"MotherHub_YKB","AsansolHub_ASN","ECONOMY","03:00:00",9
"MotherHub_YKB","JunagadhHub_IXK","ECONOMY","16:00:00",6
"MotherHub_YKB","MadhubaniHub_MBI","ECONOMY","20:00:00",11
"MotherHub_YKB","AdraSplitHub_ADR","ECONOMY","03:00:00",17
"MotherHub_YKB","DarbhangaHub_DBG","ECONOMY","20:00:00",8
"MotherHub_YKB","PanchanandapurHub_PCD","ECONOMY","06:00:00",11
"MotherHub_YKB","LoadshareAndalSplitODH_DGP","ECONOMY","03:00:00",15
"MotherHub_YKB","GangarampurHub_GRM","ECONOMY","06:00:00",13
"MotherHub_YKB","PakriHub_DMH","ECONOMY","20:00:00",3
"MotherHub_YKB","TapanHub_TPN","ECONOMY","06:00:00",4
"MotherHub_YKB","CABTJhariaODH_DBD","ECONOMY","03:00:00",14
"MotherHub_YKB","MadhepuraHub_DMH","ECONOMY","20:00:00",3
"MotherHub_YKB","GondalHub_GDN","ECONOMY","16:00:00",4
"MotherHub_YKB","SaltoraHub_SLR","ECONOMY","04:30:00",11
"MotherHub_YKB","ElasticRunKhargramODH_KND","ECONOMY","05:00:00",10
"MotherHub_YKB","CABTRajmahalaODH_RJL","ECONOMY","06:00:00",8
"MotherHub_YKB","CABTDarbhangaSplitODH_DBG","ECONOMY","20:00:00",7
