"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id"
"MotherHub_YKB","Motherhub_DIC","ECONOMY","23:00:00",7311,394
"MotherHub_YKB","Motherhub_DIC","REGULAR","23:00:00",3376,360
"MotherHub_YKB","MotherHub_STV","REGULAR","21:00:00",2464,170
"MotherHub_YKB","MotherHub_STV","ECONOMY","21:00:00",3183,158
"MotherHub_YKB","MotherHub_DEL","ECONOMY","03:30:00",172,35
"MotherHub_YKB","MotherHub_YKB_Flex","ECONOMY","11:00:00",135,11
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00",1031,101
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00",506,36
"MotherHub_YKB","MotherHub_DEL","ECONOMY","19:00:00",19,4
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00",264,42
"MotherHub_YKB","Motherhub_HRN","ECONOMY","02:00:00",8,6
"MotherHub_YKB","MotherHub_DEL","ECONOMY","18:00:00",92,17
"MotherHub_YKB","Motherhub_ABD","ECONOMY","23:00:00",315,28
"MotherHub_YKB","Motherhub_JKS","REGULAR","23:00:00",254,52
"MotherHub_YKB","Motherhub_ABD","REGULAR","23:00:00",127,17
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00",114,21
"MotherHub_YKB","Motherhub_SAI_4","ECONOMY","21:00:00",71,24
"MotherHub_YKB","Motherhub_ULB","REGULAR","16:00:00",91,16
"MotherHub_YKB","Motherhub_SAI_4","REGULAR","21:00:00",56,25
"MotherHub_YKB","Motherhub_GGN","REGULAR","18:00:00",2,1
"MotherHub_YKB","sanpka 01","ECONOMY","18:00:00",42,7
"MotherHub_YKB","sanpka 01","REGULAR","18:00:00",96,10
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00",25,12
"MotherHub_YKB","MotherHub_DEL","REGULAR","03:30:00",44,20
"MotherHub_YKB","Farrukhnagar BTS Warehouse","ECONOMY","18:00:00",1,1
"MotherHub_YKB","ElasticRunKeshodODH_KSD","ECONOMY","16:00:00",2,1
"MotherHub_YKB","GroceryMH_DEL","REGULAR","18:00:00",5,5
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00",46,8
"MotherHub_YKB","MotherHub_IDO","REGULAR","05:30:00",14,6
"MotherHub_YKB","MotherHub_NAG_BTS","REGULAR","00:00:00",4,4
"MotherHub_YKB","MotherHub_BAM","REGULAR","23:00:00",23,16
"MotherHub_YKB","Murthal_MUR","REGULAR","18:00:00",21,2
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00",21,14
"MotherHub_YKB","SirsaHub_SRS","REGULAR","19:00:00",39,4
"MotherHub_YKB","SonepatHub_SOP","REGULAR","18:00:00",23,4
"MotherHub_YKB","MotherHub_STV","REGULAR","15:00:00",4,1
"MotherHub_YKB","Farrukhnagar BTS Warehouse","REGULAR","18:00:00",17,3
"MotherHub_YKB","RajkotHub_RAJ","ECONOMY","16:00:00",2,1
"MotherHub_YKB","Motherhub_RAC","ECONOMY","17:00:00",1,1
"MotherHub_YKB","SaharanpurHub_SHP","REGULAR","09:00:00",2,1
"MotherHub_YKB","KalawadRoadHub_RAJ","ECONOMY","16:00:00",1,1
"MotherHub_YKB","MotherHub_CHG","ECONOMY","20:00:00",3,3
"MotherHub_YKB","SarsawaHub_SHP","REGULAR","17:00:00",2,2
"MotherHub_YKB","MotherHub_DEL","REGULAR","18:00:00",9,4
"MotherHub_YKB","SaharanpurHub_SHP","ECONOMY","09:00:00",1,1
"MotherHub_YKB","MotherHub_PUNE","ECONOMY","22:00:00",4,4
"MotherHub_YKB","MotherHub_SIL","REGULAR","00:00:00",2,2
"MotherHub_YKB","VeravalHub_VRV","ECONOMY","16:00:00",1,1
"MotherHub_YKB","MotherHub_LKO","ECONOMY","12:00:00",1,1
"MotherHub_YKB","KhuntiHub_IXR","ECONOMY","02:00:00",1,1
"MotherHub_YKB","MotherHub_YKB_Flex","REGULAR","10:30:00",1,1
"MotherHub_YKB","MotherHub_DEL","REGULAR","19:00:00",4,4
"MotherHub_YKB","SirsaHub_SRS","REGULAR","09:00:00",4,3
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00",4,3
"MotherHub_YKB","CABTMurshidabadODH_MBB","ECONOMY","05:00:00",1,1
"MotherHub_YKB","MotherHub_SIL","ECONOMY","00:00:00",3,3
"MotherHub_YKB","KwarsiHighwayHub_ALG","REGULAR","17:30:00",1,1
"MotherHub_YKB","IdentifyPlusEllenabadODH_ELB","REGULAR","19:00:00",1,1
"MotherHub_YKB","JamnagarHub_QGR","ECONOMY","16:00:00",2,1
"MotherHub_YKB","Motherhub_VJN","ECONOMY","01:00:00",4,3
"MotherHub_YKB","MotherHub_DEL","REGULAR","12:30:00",11,4
"MotherHub_YKB","ElasticRunWankanerODH_WKH","ECONOMY","16:00:00",2,2
"MotherHub_YKB","LalparHub_LLP","ECONOMY","16:00:00",1,1
"MotherHub_YKB","RajkotVavadiHUb_VAV","ECONOMY","16:00:00",2,2
"MotherHub_YKB","LalparHub_LLP","REGULAR","16:00:00",1,1
"MotherHub_YKB","Motherhub_CUT","REGULAR","16:00:00",1,1
"MotherHub_YKB","MotherHub_PUNE","REGULAR","22:00:00",1,1
"MotherHub_YKB","Motherhub_CUT","ECONOMY","16:00:00",1,1
"MotherHub_YKB","Motherhub_PLS","REGULAR","21:00:00",1,1
"MotherHub_YKB","GondalHub_GDN","ECONOMY","16:00:00",1,1
"MotherHub_YKB","MorbiHub_MRB","ECONOMY","16:00:00",2,2
"MotherHub_YKB","JasdanHub_JSN","ECONOMY","16:00:00",1,1
"MotherHub_YKB","Motherhub_GGN","ECONOMY","18:00:00",1,1
