"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"BijwasanHub_DEL_PL","MotherHub_YKB","ZO",4023,121,"MotherHub_YKB"
"BijwasanHub_DEL_PL","MotherHub_YKB","B5",3023,92,"MotherHub_YKB"
"JasolaHub_DEL_PL","MotherHub_YKB","B5",8,6,"MotherHub_YKB"
"Jhilmil_DEL_PL","MotherHub_YKB","ZO",33,14,"MotherHub_YKB"
"GurgaonMilestoneHub_DEL_PL","MotherHub_YKB","B5",963,45,"GurgaonHub_DEL_PL"
"MoradabadHub_MRD_PL","MotherHub_YKB","ZO",75,3,"MotherHub_BNL"
"GurgaonMilestoneHub_DEL_PL","MotherHub_YKB","ZO",1371,41,"GurgaonHub_DEL_PL"
"BurariHub_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"HaridwarHub_HRD_PL","MotherHub_YKB","ZO",464,6,"MotherHub_BNL"
"FatehabadHub_FHB_PL","MotherHub_YKB","B5",7,2,"MotherHub_YKB"
"NoidaHub_DEL_PL","MotherHub_YKB","ZO",13,7,"MotherHub_YKB"
"HaridwarHub_HRD_PL","MotherHub_YKB","B5",110,3,"MotherHub_BNL"
"BulandshahrHub_BUR_PL","MotherHub_YKB","B5",93,4,"MotherHub_BNL"
"SirsaHub_SRS_PL","MotherHub_YKB","ZO",84,3,"MotherHub_YKB"
"Jhilmil_DEL_PL","MotherHub_YKB","B5",27,14,"MotherHub_YKB"
"SirsaHub_SRS_PL","MotherHub_YKB","B5",71,2,"MotherHub_YKB"
"SaharanpurHub_SHP_PL","MotherHub_YKB","ZO",105,11,"MotherHub_YKB"
"PrahladPur_DEL_PL","MotherHub_YKB","ZO",29,19,"MotherHub_YKB"
"BulandshahrHub_BUR_PL","MotherHub_YKB","ZO",134,7,"MotherHub_BNL"
"SonepatHub_SOP_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"Britania_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"Pitampurahub_DEL_PL","MotherHub_YKB","ZO",7,7,"MotherHub_YKB"
"HathrasHub_HTH_PL","MotherHub_YKB","ZO",68,1,"MotherHub_BNL"
"AmrohaHub_AOA_PL","MotherHub_YKB","ZO",98,3,"MotherHub_BNL"
"HathrasHub_HTH_PL","MotherHub_YKB","B5",67,1,"MotherHub_BNL"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",13,1,"Motherhub_JKS"
"KarnalHub_KAL_PL","MotherHub_YKB","B5",5,2,"MotherHub_YKB"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","ZO",20,13,"MotherHub_YKB"
"GwaliorHub_GWL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"NajafgarhHub_DEL_PL","MotherHub_YKB","B5",8,7,"MotherHub_YKB"
"Chhatarpur_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"KashipurHub_KAS_PL","MotherHub_YKB","ZO",36,3,"MotherHub_BNL"
"JhajjarHub_JJJ_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"KarolbaghHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"AlwarHub_ALW_PL","MotherHub_YKB","ZO",67,2,"MotherHub_BNL"
"ModinagarHub_MEE_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"GandhinagarHub_DEL_PL","MotherHub_YKB","ZO",10,7,"MotherHub_YKB"
"SahibabadHub_DEL_PL","MotherHub_YKB","ZO",7,7,"MotherHub_YKB"
"RoorkeeHub_HRD_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","B5",12,9,"MotherHub_YKB"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","B5",57,13,"MotherHub_YKB"
"Rohinihub_DEL_PL","MotherHub_YKB","B5",12,10,"MotherHub_YKB"
"Pitampurahub_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"MathuraHub_MTH_PL","MotherHub_YKB","ZO",11,10,"MotherHub_YKB"
"RanibaghHub_DEL_PL","MotherHub_YKB","B5",9,7,"MotherHub_YKB"
"MathuraHub_MTH_PL","MotherHub_YKB","B5",17,11,"MotherHub_YKB"
"MoradabadHub_MRD_PL","MotherHub_YKB","B5",13,1,"MotherHub_BNL"
"PrahladPur_DEL_PL","MotherHub_YKB","B5",17,12,"MotherHub_YKB"
"IPextension_DEL_PL","MotherHub_YKB","B5",9,7,"MotherHub_YKB"
"UttamNagarHub_DEL_PL","MotherHub_YKB","ZO",13,12,"MotherHub_YKB"
"AshokviharHub_DEL_PL","MotherHub_YKB","ZO",9,7,"MotherHub_YKB"
"RanibaghHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"AdarshNagarHub_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"RohtakHub_ROH_PL","MotherHub_YKB","B5",22,11,"MotherHub_YKB"
"MundkaHub_DEL_PL","MotherHub_YKB","ZO",5,5,"MotherHub_YKB"
"Peeragarhi_DEL_PL","MotherHub_YKB","ZO",9,8,"MotherHub_YKB"
"HaldwaniHub_HWI_PL","MotherHub_YKB","ZO",34,1,"MotherHub_BNL"
"MeerutHub_PL","MotherHub_YKB","ZO",21,15,"MotherHub_YKB"
"YamunaNagarHub_YNR_PL","MotherHub_YKB","B5",7,3,"MotherHub_YKB"
"Alipur_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"DasnaHub_DEL_PL","MotherHub_YKB","ZO",6,5,"MotherHub_YKB"
"BawanaHub_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"HaldwaniHub_HWI_PL","MotherHub_YKB","B5",18,2,"MotherHub_BNL"
"Motibaghhub_DEL_PL","MotherHub_YKB","B5",4,3,"MotherHub_YKB"
"JasolaHub_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"SahibabadHub_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"MangolpuriHub_DEL_PL","MotherHub_YKB","ZO",5,5,"MotherHub_YKB"
"SaharanpurHub_SHP_PL","MotherHub_YKB","B5",9,8,"MotherHub_YKB"
"Britania_DEL_PL","MotherHub_YKB","B5",1,1,"Motherhub_GGN"
"AdarshNagarHub_DEL_PL","MotherHub_YKB","ZO",4,1,"MotherHub_YKB"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",54,31,"MotherHub_YKB"
"VasundharaHub_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"GandhinagarHub_DEL_PL","MotherHub_YKB","B5",10,9,"MotherHub_YKB"
"AgraHub_AGR_PL","MotherHub_YKB","ZO",59,39,"Motherhub_GGN"
"UttamNagarHub_DEL_PL","MotherHub_YKB","B5",10,7,"MotherHub_YKB"
"MeerutHub_PL","MotherHub_YKB","B5",55,15,"MotherHub_YKB"
