"shipment_facility_current_name","tracking_id_ekart","shipment_status","bag_type_ph","bag_id","shipment_facility_source_name","bag_facility_source_name","fact_updated_at","bag_facility_source_name_1"
"MotherHub_YKB","FMPC3267615898","sorted","ZO","PH-ZO-DELYKB-30797083","MotherHub_YKB","RoorkeeHub_HRD_PL","2023-11-27T16:35:03.000+05:30","RoorkeeHub_HRD_PL"
"MotherHub_YKB","FMPC3263597864","sorted","B5","PH-B5-DELYKB-30280677","MotherHub_YKB","MundkaHub_DEL_PL","2023-11-25T09:49:13.000+05:30","MundkaHub_DEL_PL"
"MotherHub_YKB","FMPC3250819957","sorted","ZO","PH-ZO-DELYKB-30596472","MotherHub_YKB","KanjhawalaHub_DEL_PL","2023-11-20T08:50:08.000+05:30","KanjhawalaHub_DEL_PL"
"MotherHub_YKB","STOC9000137854","sorted","","EDELJML-661024101","FKL_DELInCity","MotherHub_JJH","2023-11-18T03:45:21.000+05:30","MotherHub_JJH"
"MotherHub_YKB","FMPP2023528516","sorted","B3","PH-B3-DELYKBF-4821168","MotherHub_YKB_Flex","MathuraHub_MTH_PL","2023-11-27T19:11:15.000+05:30","MathuraHub_MTH_PL"
"MotherHub_YKB","FMPC3255530525","sorted","B5","PH-B5-DELYKB-30657794","MotherHub_YKB","BudhViharHub_DEL_PL","2023-11-25T01:47:59.000+05:30","BudhViharHub_DEL_PL"
"MotherHub_YKB","FMPC3250194812","sorted","B5","PH-B5-DELYKB-30402469","MotherHub_YKB","HissarHub_HSS_PL","2023-11-20T20:29:54.000+05:30","HissarHub_HSS_PL"
"MotherHub_YKB","FMPC3228184855","sorted","ZO","PH-ZO-DELYKB-30261175","MotherHub_YKB","Motibaghhub_DEL_PL","2023-11-18T20:25:23.000+05:30","Motibaghhub_DEL_PL"
"MotherHub_YKB","FMPP2014254226","sorted","B5","PH-B5-DELYKB-30323344","MotherHub_YKB","BawanaHub_DEL_PL","2023-11-19T07:50:27.000+05:30","BawanaHub_DEL_PL"
"MotherHub_YKB","FMPC3261345657","sorted","B5","PH-B5-DELYKB-30719700","MotherHub_YKB","ShalimarGardenHub_DEL_PL","2023-11-26T11:49:37.000+05:30","ShalimarGardenHub_DEL_PL"
"MotherHub_YKB","FMPC3268564074","sorted","B5","PH-B5-DELYKB-30797452","MotherHub_YKB","Britania_DEL_PL","2023-11-27T09:07:42.000+05:30","Britania_DEL_PL"
"MotherHub_YKB","FMPC3266906570","sorted","ZO","PH-ZO-DELYKB-30736431","MotherHub_YKB","Jhilmil_DEL_PL","2023-11-27T10:08:49.000+05:30","Jhilmil_DEL_PL"
"MotherHub_YKB","FMPP2019329928","sorted","B5","PH-B5-DELYKB-30596435","MotherHub_YKB","KanjhawalaHub_DEL_PL","2023-11-23T09:30:55.000+05:30","KanjhawalaHub_DEL_PL"
"MotherHub_YKB","FMPC3249665385","sorted","B5","PH-B5-DELYKB-30572902","MotherHub_YKB","FaridabadHub_DEL_PL","2023-11-19T14:00:04.000+05:30","FaridabadHub_DEL_PL"
"MotherHub_YKB","FMPP2027305279","sorted","B3","PH-B3-DELYKBF-4869919","MotherHub_YKB_Flex","Alipur_DEL_PL","2023-11-27T13:25:13.000+05:30","Alipur_DEL_PL"
