"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00",743,68
"MotherHub_YKB","MotherHub_STV","REGULAR","21:00:00",1498,148
"MotherHub_YKB","MotherHub_BLR","ECONOMY","08:00:00",2378,190
"MotherHub_YKB","Motherhub_DIC","REGULAR","23:00:00",590,63
"MotherHub_YKB","Motherhub_DIC","ECONOMY","23:00:00",1906,70
"MotherHub_YKB","Motherhub_ANJ","ECONOMY","00:00:00",167,5
"MotherHub_YKB","MotherHub_STV","ECONOMY","21:00:00",2276,143
"MotherHub_YKB","Motherhub_SAI_4","REGULAR","21:00:00",21,12
"MotherHub_YKB","MotherHub_BLR","REGULAR","08:00:00",1775,183
"MotherHub_YKB","sanpka 01","REGULAR","18:00:00",56,5
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00",298,44
"MotherHub_YKB","Motherhub_ULB","REGULAR","16:00:00",132,25
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00",170,4
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00",569,39
"MotherHub_YKB","Motherhub_JKS","REGULAR","23:00:00",147,37
"MotherHub_YKB","MotherHub_DEL","ECONOMY","18:00:00",88,17
"MotherHub_YKB","RathbariHub_LDA","ECONOMY","06:00:00",4,1
"MotherHub_YKB","Motherhub_HRN","ECONOMY","02:00:00",103,6
"MotherHub_YKB","MotherHub_DEL","ECONOMY","03:30:00",49,13
"MotherHub_YKB","MotherHub_NAG_BTS","REGULAR","00:00:00",49,5
"MotherHub_YKB","Motherhub_HRN","REGULAR","02:00:00",39,6
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00",128,23
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00",52,2
"MotherHub_YKB","MotherHub_DEL","REGULAR","18:00:00",10,5
"MotherHub_YKB","MotherHub_YKB_Flex","ECONOMY","11:00:00",52,8
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00",32,2
"MotherHub_YKB","Murthal_MUR","REGULAR","18:00:00",33,3
"MotherHub_YKB","CABTRajmahalaODH_RJL","ECONOMY","06:00:00",2,1
"MotherHub_YKB","HissarHub_HSS","REGULAR","18:00:00",11,4
"MotherHub_YKB","RaiganjHub_RGJ","REGULAR","06:00:00",2,1
"MotherHub_YKB","SupaulHub_SOU","ECONOMY","20:00:00",3,1
"MotherHub_YKB","MotherHub_IDO","ECONOMY","05:30:00",94,6
"MotherHub_YKB","Motherhub_ANJ","REGULAR","00:00:00",33,5
"MotherHub_YKB","MotherHub_DEL","ECONOMY","19:00:00",16,6
"MotherHub_YKB","SonepatHub_SOP","REGULAR","18:00:00",12,3
"MotherHub_YKB","CABTMurshidabadODH_MBB","ECONOMY","05:00:00",2,1
"MotherHub_YKB","MotherHub_HJR","REGULAR","19:00:00",3,2
"MotherHub_YKB","CABTNarayanpurODH_LDA","REGULAR","06:00:00",2,1
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00",11,7
"MotherHub_YKB","MotherHub_DEL","REGULAR","12:30:00",10,4
"MotherHub_YKB","MotherHub_DEL","REGULAR","03:30:00",36,17
"MotherHub_YKB","Farrukhnagar BTS Warehouse","REGULAR","18:00:00",14,3
