"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","tracking_id_ekart","bag_facility_source_name","shipment_facility_source_name","fact_updated_at","shipment_cpd"
"MotherHub_YKB","DependoKaliachakODH_KTJ","ECONOMY","06:00:00","F-71197168330557813","FMPC3258802423","PanipatHub_PPT_PL","MotherHub_YKB","2023-11-23T11:41:51.000+05:30","2023-11-29T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00","H-31625818968254278","FMPC3259348054","SangamviharHub_DEL_PL","MotherHub_YKB","2023-11-23T12:10:02.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","C-36900571195029051","FMPC3258055457","PrahladPur_DEL_PL","MotherHub_YKB","2023-11-23T13:29:57.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_HRN","ECONOMY","02:00:00","E-71078699801671857","FMPC3254161714","BareillyHub_BRY_PL","MotherHub_YKB","2023-11-23T03:10:29.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","G-67984260746376495","FMPC3257904737","PrahladPur_DEL_PL","MotherHub_YKB","2023-11-23T12:41:10.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","H-71186810890289198","FMPC3258395364","Rohinihub_DEL_PL","MotherHub_YKB","2023-11-23T03:13:05.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00","E-9747558531537586","FMPC3257876817","GandhinagarHub_DEL_PL","MotherHub_YKB","2023-11-23T09:33:45.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","RaiganjHub_RGJ","ECONOMY","06:00:00","A-68220155899232985","FMPP2021785066","SangamviharHub_DEL_PL","MotherHub_YKB","2023-11-23T12:09:17.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","E-69982834720073550","FMPC3257451496","MeerutHub_PL","MotherHub_YKB","2023-11-23T12:51:24.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","SRTP9939633200","SRTP9939633200","MoradabadHub_MRD_PL","MotherHub_YKB","2023-11-23T03:09:51.000+05:30","2023-11-30T16:30:00.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","B-69882613094508030","FMPC3257937820","Jhilmil_DEL_PL","MotherHub_YKB","2023-11-23T08:50:56.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","D-31564146171987159","FMPC3259157575","BudhViharHub_DEL_PL","MotherHub_YKB","2023-11-23T02:13:01.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","SindrisplitODH_DBD","ECONOMY","03:00:00","F-30007477040756262","FMPC3259387580","BadshahpurHub_DEL_PL","MotherHub_YKB","2023-11-23T08:04:23.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","G-69983204008114273","FMPC3259053276","KarolbaghHub_DEL_PL","MotherHub_YKB","2023-11-23T13:33:00.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","A-8219396354394243","FMPC3257742810","Chhatarpur_DEL_PL","MotherHub_YKB","2023-11-23T10:44:14.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00","C-75037687725760619","FMPC3257065887","MeerutHub_PL","MotherHub_YKB","2023-11-23T12:48:21.000+05:30","2023-11-29T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","E-64626780785095254","FMPC3257264030","NarelaHub_DEL_PL","MotherHub_YKB","2023-11-23T10:30:13.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","RathbariHub_LDA","ECONOMY","06:00:00","E-47655436064302902","FMPC3258397119","WelcomeHub_DEL_PL","MotherHub_YKB","2023-11-23T09:43:48.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","12:30:00","C-58801477872353301","FMPP2022246368","AdarshNagarHub_DEL_PL","MotherHub_YKB","2023-11-23T12:08:19.000+05:30","2023-11-29T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","C-71159208797501013","FMPC3256217851","CABTJalandharOPH_JLR_PL","MotherHub_YKB","2023-11-23T15:55:45.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_CUT","ECONOMY","16:00:00","H-69892015712355751","FMPC3256693366","ChanakyapuriHub_DEL_PL","MotherHub_YKB","2023-11-22T09:34:55.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_HRN","ECONOMY","02:00:00","A-9753985339229039","FMPP2021799226","Phase3NoidaHub_DEL_PL","MotherHub_YKB","2023-11-23T01:28:58.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","PuruliaHub_PRR","ECONOMY","03:00:00","C-75034099338435243","FMPC3257065385","MeerutHub_PL","MotherHub_YKB","2023-11-23T12:48:21.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","LoadshareLalbaghODH_MBB","ECONOMY","05:00:00","D-13270654909781276","FMPC3258976044","PrahladPur_DEL_PL","MotherHub_YKB","2023-11-23T08:59:03.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","KalawadRoadHub_RAJ","ECONOMY","16:00:00","F-36873947289030269","FMPP2021126830","SangamviharHub_DEL_PL","MotherHub_YKB","2023-11-22T09:36:50.000+05:30","2023-11-26T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","H-68234380429010374","FMPC3259368526","BijwasanHub_DEL_PL","MotherHub_YKB","2023-11-23T05:06:19.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","F-69987379952828679","FMPC3257402358","Britania_DEL_PL","MotherHub_YKB","2023-11-23T12:27:22.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","A-31599508724989123","FMPC3257887190","Jhilmil_DEL_PL","MotherHub_YKB","2023-11-23T08:53:28.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","JhilmilMPHub_DEL","REGULAR","10:00:00","R-506969200","FMPR0455996160","MotherHub_HYP","MotherHub_YKB","2023-11-22T05:24:03.000+05:30","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","Motherhub_PAT_BTS","ECONOMY","20:00:00","C-13276068342032134","FMPC3259519721","ShalimarGardenHub_DEL_PL","MotherHub_YKB","2023-11-23T03:32:32.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","C-29879803294653403","FMPC3257061414","MeerutHub_PL","MotherHub_YKB","2023-11-23T13:22:34.000+05:30","2023-12-01T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_RAC","ECONOMY","17:00:00","C-9772987734211975","FMPP2022282478","MundkaHub_DEL_PL","MotherHub_YKB","2023-11-23T01:15:29.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","KandiHub_KND","ECONOMY","05:00:00","F-6658051217939509","FMPC3259357082","Jhilmil_DEL_PL","MotherHub_YKB","2023-11-23T09:02:56.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","B-31480687828432644","FMPP2020386359","RoorkeeHub_HRD_PL","MotherHub_YKB","2023-11-23T13:03:14.000+05:30","2023-12-02T02:59:59.000+05:30"
