"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","bag_id","tracking_id_ekart","bag_type_ph","bag_receive_time","fact_updated_at","bag_facility_source_name","shipment_facility_source_name","shipment_cpd"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","E-72663299361710685","EGURJJH-2860133","FMPC3250162748","","2023-11-23T16:37:47.000+05:30","2023-11-23T16:37:53.000+05:30","SarsawaHub_SHP","Motherhub_JKS","2023-11-22T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","F-7612772988684381","EGURJJH-2861164","FMPC3245946507","","2023-11-23T14:51:56.000+05:30","2023-11-23T14:52:08.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","H-3059755234254341","EHTHHTH-660863824","FMPC3151005585","","2023-11-23T14:45:28.000+05:30","2023-11-23T14:45:30.000+05:30","AligarhHub_ALG","Motherhub_JKS","2023-10-22T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","B-73797039377360886","EHTHHTH-660859872","FMPC3222380488","","2023-11-23T14:46:20.000+05:30","2023-11-23T14:46:28.000+05:30","AligarhHub_ALG","Motherhub_JKS","2023-11-16T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","ECONOMY","18:00:00","C-70933164176069630","EGURJJH-2861164","FMPC3248791841","","2023-11-23T14:51:56.000+05:30","2023-11-23T14:52:08.000+05:30","KwarsiHighwayHub_ALG","Motherhub_JKS","2023-11-24T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","H-58487672272480769","EGURJJH-2858576","FMPC3251303859","","2023-11-23T08:55:23.000+05:30","2023-11-23T08:55:33.000+05:30","Murthal_MUR","Motherhub_JKS","2023-11-22T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_STV","ECONOMY","21:00:00","B-74086668946324037","ESURSUR-663723749","FMPC3231348084","","2023-11-23T14:49:16.000+05:30","2023-11-23T14:49:26.000+05:30","AligarhHub_ALG","MotherHub_STV_BTS","2023-11-23T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-564593887","EGURJJH-2865144","FMPR0511725451","","2023-11-23T14:54:01.000+05:30","2023-11-23T14:54:07.000+05:30","KwarsiHighwayHub_ALG","KwarsiHighwayHub_ALG","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","Motherhub_ULB","REGULAR","16:00:00","R-564870692","Eulub_bt-886523","FMPR0512030412","","2023-11-23T13:44:46.000+05:30","2023-11-23T13:44:58.000+05:30","GhazipurHub_GIR","GhazipurHub_GIR","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00","S10364333481","Eulub_bt-894810","FMPC3244866127","","2023-11-23T14:49:41.000+05:30","2023-11-23T14:49:50.000+05:30","AligarhHub_ALG","Motherhub_ULB","2023-11-25T02:59:00.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","E-12249933063056098","EHTHHTH-660863822","FMPC3234022586","","2023-11-23T14:45:48.000+05:30","2023-11-23T14:45:54.000+05:30","AligarhHub_ALG","Motherhub_JAI_BTS","2023-11-20T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_DEL","REGULAR","18:00:00","G-69875701235464311","EGURJJH-2857333","FMPC3254058361","","2023-11-23T14:38:27.000+05:30","2023-11-23T14:38:32.000+05:30","HissarHub_HSS","Motherhub_JKS","2023-11-23T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00","S10358529841","Eulub_bt-884722","FMPC3240984706","","2023-11-23T13:40:51.000+05:30","2023-11-23T13:40:54.000+05:30","IdentifyPlusChiraiyakotODH_AZM","Motherhub_ULB","2023-11-22T02:59:00.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","D-6427705411158777","EGURJJH-2863269","FMPC3253836151","","2023-11-23T14:37:21.000+05:30","2023-11-23T14:37:25.000+05:30","HissarHub_HSS","Motherhub_JKS","2023-11-23T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-564684911","EGURJJH-2853341","FMPR0511854725","","2023-11-23T16:14:36.000+05:30","2023-11-23T16:14:42.000+05:30","JansathMDH_MFN","JansathMDH_MFN","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","MotherHub_DEL","REGULAR","18:00:00","CLQR1000448807","EGURJJH-2857721","CLQR1000448807","","2023-11-23T14:51:15.000+05:30","2023-11-23T14:51:20.000+05:30","KwarsiHighwayHub_ALG","AligarhHub_ALG","2023-12-01T22:16:11.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","D-25926271032773792","EHTHHTH-660863824","FMPC3237037104","","2023-11-23T14:45:28.000+05:30","2023-11-23T14:45:30.000+05:30","AligarhHub_ALG","Motherhub_JKS","2023-11-20T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","R-565215737","EGURJJH-2857721","FMPR0512319090","","2023-11-23T14:51:15.000+05:30","2023-11-23T14:51:20.000+05:30","KwarsiHighwayHub_ALG","AligarhHub_ALG","1970-01-01T05:30:00.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","S10333864271","EHTHHTH-660863824","FMPP2003611142","","2023-11-23T14:45:28.000+05:30","2023-11-23T14:45:30.000+05:30","AligarhHub_ALG","Motherhub_ULB","2023-11-18T02:59:00.000+05:30"
"MotherHub_YKB","MotherHub_JJH","ECONOMY","09:00:00","B-6276967760913492","EHTHHTH-660859872","FMPC3248265615","","2023-11-23T14:46:20.000+05:30","2023-11-23T14:46:28.000+05:30","AligarhHub_ALG","Motherhub_JKS","2023-11-22T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","F-9591403056626648","EHTHHTH-660859872","FMPC3126826457","","2023-11-23T14:46:20.000+05:30","2023-11-23T14:46:28.000+05:30","AligarhHub_ALG","MotherHub_STV_BTS","2023-10-20T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_ULB","ECONOMY","16:00:00","S10354229511","Eulub_bt-887168","FMPC3238999800","","2023-11-23T13:45:07.000+05:30","2023-11-23T13:45:25.000+05:30","SITICSBasantnagarODH_BGR","Motherhub_ULB","2023-11-20T02:59:00.000+05:30"
"MotherHub_YKB","MotherHub_JJH","REGULAR","09:00:00","C-26089260940868746","EGURJJH-2863269","FMPC3245355640","","2023-11-23T14:37:21.000+05:30","2023-11-23T14:37:25.000+05:30","HissarHub_HSS","Motherhub_JKS","2023-11-20T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","B-70235994016971189","EHTHHTH-660864846","FMPC3230953438","","2023-11-23T14:49:21.000+05:30","2023-11-23T14:49:30.000+05:30","AligarhHub_ALG","Motherhub_ABD","2023-11-21T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","F-70124740320667001","EHTHHTH-660863824","FMPC3230345007","","2023-11-23T14:45:28.000+05:30","2023-11-23T14:45:30.000+05:30","AligarhHub_ALG","Motherhub_JKS","2023-11-21T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_JKS","ECONOMY","23:00:00","H-71985801616292122","EHTHHTH-660863822","FMPC3229960644","","2023-11-23T14:45:48.000+05:30","2023-11-23T14:45:54.000+05:30","AligarhHub_ALG","MotherHub_STV_BTS","2023-11-22T02:59:59.000+05:30"
