"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",596,212,"MotherHub_YKB"
"VasundharaHub_DEL_PL","MotherHub_YKB","ZO",4267,174,"MotherHub_YKB"
"VasundharaHub_DEL_PL","MotherHub_YKB","B5",3152,154,"MotherHub_YKB"
"MundkaHub_DEL_PL","MotherHub_YKB","ZO",4409,239,"MotherHub_YKB"
"Peeragarhi_DEL_PL","MotherHub_YKB","ZO",2509,115,"MotherHub_YKB"
"FaridabadHub_DEL_PL","MotherHub_YKB","ZO",2846,87,"MotherHub_YKB"
"SangamviharHub_DEL_PL","MotherHub_YKB","B5",2313,139,"MotherHub_YKB"
"Pitampurahub_DEL_PL","MotherHub_YKB","ZO",4261,221,"MotherHub_YKB"
"JasolaHub_DEL_PL","MotherHub_YKB","ZO",1934,62,"MotherHub_YKB"
"AgraHub_AGR_PL","MotherHub_YKB","ZO",1531,135,"Motherhub_GGN"
"Alipur_DEL_PL","MotherHub_YKB","B5",631,90,"MotherHub_YKB"
"IPextension_DEL_PL","MotherHub_YKB","ZO",1223,59,"MotherHub_YKB"
"UttamNagarHub_DEL_PL","MotherHub_YKB","B5",1030,87,"MotherHub_YKB"
"SahibabadHub_DEL_PL","MotherHub_YKB","ZO",2305,232,"MotherHub_YKB"
"SahibabadHub_DEL_PL","MotherHub_YKB","B5",1138,136,"MotherHub_YKB"
"IPextension_DEL_PL","MotherHub_YKB","B5",727,50,"MotherHub_YKB"
"Britania_DEL_PL","MotherHub_YKB","ZO",2239,106,"MotherHub_YKB"
"Jhilmil_DEL_PL","MotherHub_YKB","ZO",2356,100,"MotherHub_YKB"
"FaridabadHub_DEL_PL","MotherHub_YKB","B5",1692,65,"MotherHub_YKB"
"BilaspurHub_DRH_PL","MotherHub_YKB","ZO",544,63,"MotherHub_YKB"
"KanjhawalaHub_DEL_PL","MotherHub_YKB","B5",561,57,"MotherHub_YKB"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","ZO",1149,49,"MotherHub_YKB"
"Alipur_DEL_PL","MotherHub_YKB","ZO",1338,124,"MotherHub_YKB"
"RanibaghHub_DEL_PL","MotherHub_YKB","B5",2479,107,"MotherHub_YKB"
"KanjhawalaHub_DEL_PL","MotherHub_YKB","ZO",586,73,"MotherHub_YKB"
"ELASTICRUNHANSIODH_HNS_PL","MotherHub_YKB","ZO",211,3,"MotherHub_YKB"
"Pitampurahub_DEL_PL","MotherHub_YKB","B5",2766,160,"MotherHub_YKB"
"MangolpuriHub_DEL_PL","MotherHub_YKB","ZO",1395,81,"MotherHub_YKB"
"MangolpuriHub_DEL_PL","MotherHub_YKB","B5",775,50,"MotherHub_YKB"
"RanibaghHub_DEL_PL","MotherHub_YKB","ZO",3353,134,"MotherHub_YKB"
"Peeragarhi_DEL_PL","MotherHub_YKB","B5",367,63,"MotherHub_YKB"
"BawanaHub_DEL_PL","MotherHub_YKB","ZO",773,84,"MotherHub_YKB"
"Britania_DEL_PL","MotherHub_YKB","B5",1264,73,"MotherHub_YKB"
"SirsaHub_SRS_PL","MotherHub_YKB","B5",100,2,"MotherHub_YKB"
"WelcomeHub_DEL_PL","MotherHub_YKB","ZO",1057,31,"MotherHub_YKB"
"Phase3NoidaHub_DEL_PL","MotherHub_YKB","B5",115,33,"MotherHub_YKB"
"BurariHub_DEL_PL","MotherHub_YKB","B5",367,64,"MotherHub_YKB"
"Motibaghhub_DEL_PL","MotherHub_YKB","B5",1398,112,"MotherHub_YKB"
"RajnagarMP_DEL_PL","MotherHub_YKB","B5",332,34,"MotherHub_YKB"
"MundkaHub_DEL_PL","MotherHub_YKB","B5",3108,201,"MotherHub_YKB"
"DholpurHub_DLP_PL","MotherHub_YKB","ZO",13,1,"MotherHub_BNL"
"JasolaHub_DEL_PL","MotherHub_YKB","B5",1660,55,"MotherHub_YKB"
"UttamNagarHub_DEL_PL","MotherHub_YKB","ZO",1413,109,"MotherHub_YKB"
"NarelaHub_DEL_PL","MotherHub_YKB","ZO",292,51,"MotherHub_YKB"
"Motibaghhub_DEL_PL","MotherHub_YKB","ZO",1888,135,"MotherHub_YKB"
"BudhViharHub_DEL_PL","MotherHub_YKB","ZO",1691,130,"MotherHub_YKB"
"PaharganjHub_DEL_PL","MotherHub_YKB","ZO",1185,56,"MotherHub_YKB"
"SangamviharHub_DEL_PL","MotherHub_YKB","ZO",2666,161,"MotherHub_YKB"
"PaharganjHub_DEL_PL","MotherHub_YKB","B5",693,46,"MotherHub_YKB"
"ShalimarGardenHub_DEL_PL","MotherHub_YKB","ZO",851,28,"MotherHub_YKB"
"RohtakHub_ROH_PL","MotherHub_YKB","ZO",36,10,"MotherHub_YKB"
"NarelaHub_DEL_PL","MotherHub_YKB","B5",264,70,"MotherHub_YKB"
"GurgaonHub_DEL_PL","MotherHub_YKB","ZO",94,18,"MotherHub_YKB"
"Jhilmil_DEL_PL","MotherHub_YKB","B5",539,70,"MotherHub_YKB"
"SonepatHub_SOP_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
