"shipment_facility_current_name","tracking_id_ekart","shipment_status","bag_type_ph","bag_id","shipment_facility_source_name","bag_facility_source_name","fact_updated_at","bag_facility_source_name_1"
"MotherHub_YKB","FMPC3252384439","sorted","","","MotherHub_YKB","","2023-11-21T17:52:23.000+05:30",""
"MotherHub_YKB","FMPC3243046599","sorted","ZO","PH-ZO-DELYKB-30447520","MotherHub_YKB","SangamviharHub_DEL_PL","2023-11-17T15:44:02.000+05:30","SangamviharHub_DEL_PL"
"MotherHub_YKB","FMPC3253833634","sorted","ZO","PH-ZO-DELYKB-30632207","MotherHub_YKB","RewariHub_RWR_PL","2023-11-21T23:05:52.000+05:30","RewariHub_RWR_PL"
"MotherHub_YKB","FMPP2020848225","sorted","B5","PH-B5-DELYKB-30655078","MotherHub_YKB","BijwasanHub_DEL_PL","2023-11-21T23:40:51.000+05:30","BijwasanHub_DEL_PL"
"MotherHub_YKB","FMPP2017783901","sorted","B5","PH-B5-DELYKB-30628293","MotherHub_YKB","Firozabad_FZD_PL","2023-11-21T14:02:12.000+05:30","Firozabad_FZD_PL"
"MotherHub_YKB","PTMP0000824960","sorted","B5","PH-B5-DELYKB-30617167","MotherHub_YKB","HapurHub_HPU_PL","2023-11-22T00:35:35.000+05:30","HapurHub_HPU_PL"
"MotherHub_YKB","FMPC3242186546","sorted","ZO","PH-ZO-DELYKB-30253145","MotherHub_YKB","MayurVihar_DEL_PL","2023-11-16T10:09:49.000+05:30","MayurVihar_DEL_PL"
"MotherHub_YKB","FMPC3254499803","sorted","ZO","PH-ZO-DELYKB-30577996","MotherHub_YKB","RoorkeeHub_HRD_PL","2023-11-22T00:24:45.000+05:30","RoorkeeHub_HRD_PL"
"MotherHub_YKB","FMPC3253192287","sorted","B5","PH-B5-DELYKB-30632239","MotherHub_YKB","DehradunHub_DED_PL","2023-11-22T00:09:10.000+05:30","DehradunHub_DED_PL"
"MotherHub_YKB","FMPC3221020458","sorted","","EPNQSTP-660895124","MotherHub_YKB","WarjeHub_PUNE","2023-11-20T13:30:50.000+05:30","WarjeHub_PUNE"
"MotherHub_YKB","FMPC3228147236","sorted","ZO","PH-ZO-DELYKB-30280856","MotherHub_YKB","PaharganjHub_DEL_PL","2023-11-18T21:29:55.000+05:30","PaharganjHub_DEL_PL"
"MotherHub_YKB","FMPC3253346924","sorted","B5","PH-B5-DELYKB-30612393","MotherHub_YKB","Rohinihub_DEL_PL","2023-11-21T09:27:01.000+05:30","Rohinihub_DEL_PL"
"MotherHub_YKB","FMPC3237723872","sorted","ZO","PH-ZO-DELYKB-30102409","MotherHub_YKB","WelcomeHub_DEL_PL","2023-11-14T10:46:29.000+05:30","WelcomeHub_DEL_PL"
"MotherHub_YKB","FMPC3253770694","sorted","","EBBISDG-660809635","MotherHub_YKB","MotherHub_YKB","2023-11-22T01:29:36.000+05:30","MotherHub_YKB"
"MotherHub_YKB","FMPC3250040976","sorted","B5","PH-B5-DELYKB-30620443","MotherHub_YKB","ChanakyapuriHub_DEL_PL","2023-11-21T13:54:12.000+05:30","ChanakyapuriHub_DEL_PL"
"MotherHub_YKB","MYEP1007192754","sorted","B5","PH-B5-DELYKB-30624003","MotherHub_YKB","SonepatHub_SOP_PL","2023-11-21T13:55:26.000+05:30","SonepatHub_SOP_PL"
"MotherHub_YKB","FMPC3252111770","sorted","","ERACRAC-267216-1686","MotherHub_YKB","MotherHub_YKB","2023-11-22T00:06:30.000+05:30","MotherHub_YKB"
"MotherHub_YKB","FMPP2019227557","sorted","ZO","PH-ZO-DELYKB-30619387","MotherHub_YKB","NajafgarhHub_DEL_PL","2023-11-21T08:30:18.000+05:30","NajafgarhHub_DEL_PL"
"MotherHub_YKB","FMPC3254304599","sorted","","EBIHSSM-660886917","MotherHub_YKB","MotherHub_YKB","2023-11-22T01:30:09.000+05:30","MotherHub_YKB"
"MotherHub_YKB","FMPP2020452206","sorted","B5","PH-B5-DELYKB-30643933","MotherHub_YKB","BijwasanHub_DEL_PL","2023-11-22T00:22:39.000+05:30","BijwasanHub_DEL_PL"
"MotherHub_YKB","FMPC3249883390","sorted","ZO","PH-ZO-DELYKB-30600369","MotherHub_YKB","GwaliorHub_GWL_PL","2023-11-20T10:25:50.000+05:30","GwaliorHub_GWL_PL"
"MotherHub_YKB","FMPP2013273858","sorted","B3","PH-B3-FRKGGN-3897335","Motherhub_GGN","HissarHub_HSS_PL","2023-11-21T23:52:25.000+05:30","HissarHub_HSS_PL"
"MotherHub_YKB","FMPC3254119973","sorted","ZO","PH-ZO-DELYKB-30332040","MotherHub_YKB","RohtakHub_ROH_PL","2023-11-21T23:05:30.000+05:30","RohtakHub_ROH_PL"
"MotherHub_YKB","FMPC3236424557","sorted","ZO","PH-ZO-DELYKB-30404671","MotherHub_YKB","NehruPlaceHub_DEL_PL","2023-11-14T10:03:19.000+05:30","NehruPlaceHub_DEL_PL"
"MotherHub_YKB","FMPC3239354734","sorted","ZO","PH-ZO-DELYKB-30251995","MotherHub_YKB","MayurVihar_DEL_PL","2023-11-20T21:10:57.000+05:30","MayurVihar_DEL_PL"
"MotherHub_YKB","FMPC3253804335","sorted","ZO","PH-ZO-DELYKB-30611024","MotherHub_YKB","PrahladPur_DEL_PL","2023-11-21T10:18:55.000+05:30","PrahladPur_DEL_PL"
"MotherHub_YKB","FMPP2018468239","sorted","B5","PH-B5-DELYKB-30018982","MotherHub_YKB","AmrohaHub_AOA_PL","2023-11-22T00:55:54.000+05:30","AmrohaHub_AOA_PL"
"MotherHub_YKB","FMPC3248742082","sorted","ZO","PH-ZO-DELYKB-30344983","MotherHub_YKB","CABTJalandharOPH_JLR_PL","2023-11-21T08:05:03.000+05:30","CABTJalandharOPH_JLR_PL"
"MotherHub_YKB","FMPC3248437276","sorted","ZO","PH-ZO-DELYKB-30537344","MotherHub_YKB","IPextension_DEL_PL","2023-11-19T13:46:59.000+05:30","IPextension_DEL_PL"
"MotherHub_YKB","FMPP2020576698","sorted","ZO","PH-ZO-DELYKB-30644116","MotherHub_YKB","BijwasanHub_DEL_PL","2023-11-21T23:42:36.000+05:30","BijwasanHub_DEL_PL"
"MotherHub_YKB","SDLC1026024089","sorted","","ERAICHG-2451447","MotherHub_YKB","JunagarhHub_JNR","2023-11-21T13:28:46.000+05:30","JunagarhHub_JNR"
"MotherHub_YKB","FMPC3253217679","sorted","B5","PH-B5-DELYKB-30607951","MotherHub_YKB","Chhatarpur_DEL_PL","2023-11-21T14:03:56.000+05:30","Chhatarpur_DEL_PL"
"MotherHub_YKB","FMPC3254614897","sorted","B5","PH-B5-DELYKB-30632755","MotherHub_YKB","MathuraHub_MTH_PL","2023-11-22T00:12:57.000+05:30","MathuraHub_MTH_PL"
"MotherHub_YKB","FMPC3240173640","sorted","ZO","PH-ZO-DELYKB-30460628","MotherHub_YKB","NehruPlaceHub_DEL_PL","2023-11-16T07:55:37.000+05:30","NehruPlaceHub_DEL_PL"
"MotherHub_YKB","FMPC3252191795","sorted","ZO","PH-ZO-DELYKB-30635204","MotherHub_YKB","RATIAODH_RTA_PL","2023-11-22T01:28:56.000+05:30","RATIAODH_RTA_PL"
"MotherHub_YKB","FMPC3251995493","sorted","ZO","PH-ZO-DELYKB-30539218","MotherHub_YKB","Ramaroadhub_DEL_PL","2023-11-20T08:54:55.000+05:30","Ramaroadhub_DEL_PL"
"MotherHub_YKB","FMPC3241274865","sorted","ZO","PH-ZO-DELYKB-30455296","MotherHub_YKB","IPextension_DEL_PL","2023-11-16T04:45:14.000+05:30","IPextension_DEL_PL"
"MotherHub_YKB","FMPC3251483092","sorted","B6","PH-B6-DELDIC-2113948","Motherhub_DIC","DehradunHub_DED_PL","2023-11-22T00:43:41.000+05:30","DehradunHub_DED_PL"
"MotherHub_YKB","FMPP2019595533","sorted","ZO","PH-ZO-DELYKB-29443614","MotherHub_YKB","AligarhHub_ALG_PL","2023-11-21T18:13:23.000+05:30","AligarhHub_ALG_PL"
"MotherHub_YKB","FMPP2016526020","sorted","B3","PH-B3-DELYKBF-4015965","MotherHub_YKB_Flex","CABTJalandharOPH_JLR_PL","2023-11-21T13:39:03.000+05:30","CABTJalandharOPH_JLR_PL"
"MotherHub_YKB","FMPP2017885220","sorted","ZO","PH-ZO-DELYKB-30390806","MotherHub_YKB","ShahdaraHub_DEL_PL","2023-11-20T08:54:42.000+05:30","ShahdaraHub_DEL_PL"
"MotherHub_YKB","FMPC3225695101","sorted","","EPNQSTP-660895124","MotherHub_YKB","WarjeHub_PUNE","2023-11-20T13:30:50.000+05:30","WarjeHub_PUNE"
"MotherHub_YKB","FMPC3250012916","sorted","ZO","PH-ZO-DELYKB-30497504","MotherHub_YKB","GwaliorHub_GWL_PL","2023-11-21T23:07:38.000+05:30","GwaliorHub_GWL_PL"
"MotherHub_YKB","FMPC3252299267","sorted","B5","PH-B5-DELYKB-30588494","Motherhub_GGN","HissarHub_HSS_PL","2023-11-21T17:36:02.000+05:30","HissarHub_HSS_PL"
"MotherHub_YKB","FMPC3246488147","sorted","ZO","PH-ZO-DELYKB-30434511","MotherHub_YKB","IPextension_DEL_PL","2023-11-18T03:42:44.000+05:30","IPextension_DEL_PL"
"MotherHub_YKB","FMPC3247447825","sorted","ZO","PH-ZO-DELYKB-30532655","MotherHub_YKB","CanttHissarHub_HSS_PL","2023-11-18T16:43:30.000+05:30","CanttHissarHub_HSS_PL"
"MotherHub_YKB","FMPC3237521205","sorted","ZO","PH-ZO-DELYKB-30442666","MotherHub_YKB","RanibaghHub_DEL_PL","2023-11-15T12:30:32.000+05:30","RanibaghHub_DEL_PL"
"MotherHub_YKB","FMPC3252900069","sorted","","EBBISDG-660809635","MotherHub_YKB","MotherHub_YKB","2023-11-22T00:07:08.000+05:30","MotherHub_YKB"
"MotherHub_YKB","FMPC3253770542","sorted","ZO","PH-ZO-DELYKB-30604768","MotherHub_YKB","PaharganjHub_DEL_PL","2023-11-21T12:59:41.000+05:30","PaharganjHub_DEL_PL"
